DATE_OF_INTEREST,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT,CASE_COUNT_7DAY_AVG,INCOMPLETE
9/2/2020,268,22,7,244,
9/3/2020,273,20,6,245,
9/4/2020,226,26,4,238,
9/5/2020,156,20,3,243,
9/6/2020,203,23,7,246,
9/7/2020,218,23,3,234,
9/8/2020,388,25,2,247,
9/9/2020,341,27,3,258,
9/10/2020,318,21,3,264,
9/11/2020,305,29,4,276,
9/12/2020,199,9,5,282,
9/13/2020,253,16,3,289,
9/14/2020,418,18,4,317,
9/15/2020,340,27,3,311,
9/16/2020,357,32,7,313,
9/17/2020,353,26,4,318,
9/18/2020,270,26,4,313,
9/19/2020,149,21,5,306,
9/20/2020,162,18,3,293,
9/21/2020,495,22,3,304,
9/22/2020,373,20,3,308,
9/23/2020,492,31,4,328,
9/24/2020,427,26,4,338,
9/25/2020,404,37,3,357,6000
9/26/2020,244,20,5,371,6000
9/27/2020,350,27,1,398,6000
9/28/2020,339,28,4,376,6000
9/29/2020,367,25,5,375,6000
9/30/2020,145,3,3,325,6000
10/1/2020,19,0,0,267,6000
