NAME,BORO,BUILDING,STREET,ZIPCODE,CUISINE DESCRIPTION,Latitude,Longitude
THE WILD GOOSE,Queens,54-22,ROOSEVELT AVENUE,11377,Irish,40.74479837,-73.91024681
SIZZLE SHAWARMA & FALAFEL BAR,Queens,18615,UNION TPKE,11366,Jewish/Kosher,40.72870803,-73.78270685
P.F. PAST AL FRNO,Manhattan,167B,7 AVENUE SOUTH,10014,Other,40.73571811,-74.00158048
PEARLS,Manhattan,794,AMSTERDAM AVENUE,10025,Chinese,40.79580493,-73.96909856
MAX,Queens,4702,30 AVENUE,11103,German,40.76118932,-73.90926443
MISSION CHINESE FOOD,Brooklyn,599,JOHNSON AVENUE,11237,Chinese,40.70921914,-73.92321864
BROOKLYN BAGELS & MORE,Brooklyn,7302,3 AVENUE,11209,Sandwiches,40.63271997,-74.02728768
PANADERIA LA HACIENDA,Staten Island,111,VICTORY BOULEVARD,10301,Bakery,40.63774581,-74.07981187
CAFE BARI,Manhattan,1033,AVENUE OF THE AMERICAS,10018,Café/Coffee/Tea,40.75269633,-73.98567099
7B BAR,Manhattan,108,AVENUE B,10009,American,40.72498456,-73.98128265
LENOX SAPHIRE,Manhattan,341,LENOX AVENUE,10027,African,40.80920374,-73.94444852
RUBY KITCHEN CHAN INC,Brooklyn,162,PARK PLACE,11217,Chinese,40.67760541,-73.97298591
BRONX TAVERN,Bronx,780,EAST  133 STREET,10454,American,40.80084047,-73.91337113
AJISEN RAMEN,Manhattan,14,MOTT STREET,10013,Japanese,40.71408935,-73.99871944
DUNKIN',Bronx,281,BRUCKNER BOULEVARD,10454,Donuts,40.80520001,-73.91093805
EL VALLE LENOX,Manhattan,588,LENOX AVENUE,10037,Spanish,40.81698493,-73.93873735
ARCHWAY CAFE (57B on PEARL ST),Brooklyn,68,JAY STREET,11201,American,40.70275543,-73.98668079
BUFF PATTY RESTAURANT & BAKERY,Brooklyn,376,MYRTLE AVENUE,11205,Caribbean,40.69316784,-73.97116933
PANERA BREAD,Queens,254-41,HORACE HARDING EXPRESSWAY,11362,American,40.76387238,-73.72671334
LA BIENVENIDA RESTAURANT,Queens,6403,ROOSEVELT AVE,11377,Mexican,40.74595907,-73.89988752
PHILLIP MARIE,Manhattan,569,HUDSON STREET,10014,American,40.73594304,-74.00595027
EL POLLO ENCHILADO,Brooklyn,1869,EAST    3 STREET,11223,Mexican,40.60494758,-73.97010917
PATSY'S PIZZERIA,Brooklyn,450,DEAN STREET,11217,Italian,40.68192089,-73.9761065
Q Q STAR,Brooklyn,9212,4 AVENUE,11209,Chinese,40.61815814,-74.03025697
GT KINGSTON RESTAURANT & BAR,Queens,11445,LEFFERTS BLVD,11420,Caribbean,40.67793126,-73.82009014
EMPERADOR ELIAS RESTAURANT,Brooklyn,274,BROADWAY,11211,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",40.70872417,-73.9587944
THERAPY,Manhattan,348,WEST   52 STREET,10019,American,40.76427937,-73.98698251
AMARU,Queens,84-13,NORTHERN BOULEVARD,11372,Peruvian,40.75577788,-73.8832907
PANDA EXPRESS 2614,Brooklyn,423,FULTON STREET,11201,Chinese,40.69175728,-73.98807492
ANEJO,Manhattan,668,10 AVENUE,10036,Mexican,40.76277303,-73.99317373
BIRYANI AND CHAT,Queens,4427,KISSENA BOULEVARD,11355,Indian,40.75334436,-73.8221271
61 LOCAL,Brooklyn,61,BERGEN STREET,11201,American,40.68695969,-73.99104331
HOW GREEK IT IS TOO!,Staten Island,1734,VICTORY BOULEVARD,10314,Greek,40.61312945,-74.12165987
Employee Cafeteria (New York Hilton Midtown),Manhattan,1335,AVENUE OF THE AMERICAS,10019,American,40.76221133,-73.97874165
D.B.A.,Manhattan,41,1 AVENUE,10003,American,40.72423886,-73.98774078
SMALL KITCHEN,Queens,44-37,VERNON BOULEVARD,11101,Sandwiches/Salads/Mixed Buffet,40.74929749,-73.95220779
CASSEROLE KING,Queens,133-35,ROOSEVELT AVENUE,11354,Chinese,40.758502,-73.83324181
BED-STUY FISHFRY,Brooklyn,827,NOSTRAND AVENUE,11225,Soul Food,40.66838923,-73.95062943
SWEETGREEN,Manhattan,413,GREENWICH STREET,10013,Salads,40.7213461,-74.00992817
STUDIO CAFE,Manhattan,59,CHELSEA PIERS,10011,Italian,40.74799239,-74.00849574
BEAN SQUARE,Queens,21021,NORTHERN BLVD,11361,Café/Coffee/Tea,40.75946843,-73.77266139
HADJA MARLEY RESTAURANT,Brooklyn,1139,FULTON STREET,11238,African,40.68125078,-73.95621192
DUNKIN',Staten Island,1145,BAY STREET,10305,Donuts,40.61530442,-74.06702352
DA MARINO NYC ITALIAN RESTAURANT,Manhattan,220,WEST   49 STREET,10019,Italian,40.76097992,-73.98498695
CAFE KATJA,Manhattan,79,ORCHARD STREET,10002,Eastern European,40.71768736,-73.99046559
PEPOLINO,Manhattan,281,WEST BROADWAY,10013,Italian,40.72099235,-74.00490273
MISTURA PERUANA RESTAURANT,Queens,84-23,JAMAICA AVENUE,11421,Spanish,40.69238099,-73.86034502
BURLY CAFE,Brooklyn,832,DEKALB AVENUE,11221,American,40.69229554,-73.94322289
SMALL KITCHEN,Queens,44-37,VERNON BOULEVARD,11101,Sandwiches/Salads/Mixed Buffet,40.74929749,-73.95220779
ROSSY'S BAKERY & COFFEE SHOP,Manhattan,242,EAST    3 STREET,10009,Spanish,40.72221245,-73.98191477
SHORTY'S,Manhattan,576,9 AVENUE,10036,American,40.7582469,-73.99274826
SUBWAY,Manhattan,52,VANDERBILT AVENUE,10017,Sandwiches,40.75402891,-73.97721389
PUGSLEY PIZZA,Bronx,590,EAST  191 STREET,10458,Pizza/Italian,40.85906971,-73.88475362
TANDOORI FOOD & BAKERY,Queens,9904,63 ROAD,11374,Jewish/Kosher,40.73255982,-73.8565837
NIO'S WEST INDIAN RESTAURANT & BAKERY,Brooklyn,2702,CHURCH AVENUE,11226,Caribbean,40.65066141,-73.95228953
EL NUEVO GENAO BAR RESTAURANT,Brooklyn,162,THROOP AVENUE,11206,Spanish,40.69958341,-73.94423367
DAVIDSTEA,Manhattan,1124,3 AVENUE,10065,Café/Coffee/Tea,40.76572629,-73.9635459
PAM REAL THAI 49,Manhattan,404,WEST   49 STREET,10019,Thai,40.7630555,-73.98992481
FOREST HILLS DINER,Queens,68-60,AUSTIN STREET,11375,American,40.72221791,-73.85043331
BRASSERIE 8 1/2,Manhattan,9,WEST   57 STREET,10019,French,40.76324802,-73.97463325
SAMURICE,Manhattan,261,CANAL STREET,10013,Japanese,40.71871429,-74.00092351
SYBIL'S BAKERY,Queens,15924,HILLSIDE AVE,11432,Caribbean,40.70778469,-73.80248338
C & C WEST INDIAN AMERICAN FOOD,Brooklyn,1183,ROGERS AVENUE,11226,Caribbean,40.64125743,-73.95144951
TRINI ROTI HOUSE AND BAKERY,Brooklyn,1065,RUTLAND ROAD,11212,Caribbean,40.66377762,-73.92468771
BONA CAFE PIZZERIA,Bronx,751,WESTCHESTER AVENUE,10455,Pizza/Italian,40.81782697,-73.90547649
CONVENE,Manhattan,101,GREENWICH STREET,10006,American,40.70833829,-74.01341771
ARGO TEA,Manhattan,550,1 AVENUE,10016,Café/Coffee/Tea,40.74228627,-73.97459435
MCDONALD'S,Queens,9101,JAMAICA AVENUE,11421,American,40.69308092,-73.85375162
MAGGIE MAE'S,Queens,4115,QUEENS BLVD,11104,"Bottled beverages, including water, sodas, juices, etc.",40.74367412,-73.92310299
THE ELGIN,Manhattan,64,WEST   48 STREET,10036,American,40.75823173,-73.98039613
DAI HING GARDEN,Queens,171-11,JAMAICA AVENUE,11432,Chinese,40.70752885,-73.78831272
LE PAIN QUOTIDIEN,Manhattan,801,BROADWAY,10003,Bakery,40.73255857,-73.99126448
TANDOORI MASALA,Brooklyn,1695,BROADWAY,11207,Indian,40.68384396,-73.91210311
MIS ANTOJITOS AND NATURAL JUICE BAR,Bronx,1268,MORRISON AVENUE,10472,"Juice, Smoothies, Fruit Salads",40.8313075,-73.87502347
DON CHINGON,Brooklyn,216,FLATBUSH AVENUE,11217,Mexican,40.68113023,-73.97534604
THE LUTHERAN HALAL CAFE,Brooklyn,5121,2 AVENUE,11232,Delicatessen,40.64835613,-74.01767233
POPEYES,Bronx,2195,GRAND CONCOURSE,10453,Chicken,40.85571434,-73.90101945
BLUE FIN,Manhattan,1567,BROADWAY,10036,Seafood,40.75923977,-73.98516783
EL REY V,Brooklyn,1310,BROADWAY,11221,Spanish,40.69054143,-73.92391815
NUMBER 1 CHINESE RESTAURANT,Queens,10614,NORTHERN BLVD,11368,Chinese,40.75775038,-73.86257894
NEW  CHINA HOUSE,Bronx,9,WEST  183 STREET,10453,Chinese,40.85851953,-73.90434475
TEDDY'S BAR & GRILL,Brooklyn,96,BERRY STREET,11249,American,40.71926941,-73.95833692
"DUNKIN', BASKIN ROBBINS",Brooklyn,1443,MYRTLE AVENUE,11237,Donuts,40.69883214,-73.91812399
ST. TROPEZ WINE BAR,Manhattan,302,WEST    4 STREET,10014,French,40.73699163,-74.00376002
ARBY'S,Queens,175-14,HORACE HARDING EXPRESSWAY,11365,Sandwiches/Salads/Mixed Buffet,40.73837518,-73.79465561
TIEN LUNG CHINESE RESTAURANT,Bronx,3966,WHITE PLAINS ROAD,10466,Chinese,40.88755243,-73.86058082
LOS GIRASOLES RESTAURANT,Bronx,2613,WEBSTER AVENUE,10458,Mexican,40.86292267,-73.88968907
TO STEKI,Queens,2014,FRANCIS LEWIS BLVD,11357,Greek,40.77996098,-73.80238761
JAMAICAN JERK HOUSE,Brooklyn,507,PINE STREET,11208,Caribbean,40.67319309,-73.87040367
FIVE LOAVES AND TWO FISHES,Queens,8272,BROADWAY,11373,Chinese,40.74159576,-73.88069931
ANTIQUE GARAGE TRIBECA,Manhattan,313,CHURCH STREET,10013,Turkish,40.71977096,-74.00411259
STEINY'S PUB,Staten Island,3,HYATT STREET,10301,American,40.64220007,-74.07655261
CAFE ALICE,Manhattan,5,EAST   47 STREET,10017,Delicatessen,40.75647467,-73.97813348
MCDONALD'S,Manhattan,3410,BROADWAY,10031,Hamburgers,40.82237975,-73.95339079
