NAME,BORO,BUILDING,STREET,ZIPCODE,CUISINE DESCRIPTION,Latitude,Longitude
CHEFFY TWO RESTAURANT,Bronx,4759B,WHITE PLAINS ROAD,10470,Caribbean,40.90488253,-73.84962995
TAQUERIA DIANA,Manhattan,129,2 AVENUE,10003,Mexican,40.72842738,-73.98780134
SISTER'S & FAMILY RESTAURANT,Brooklyn,1727,PITKIN AVENUE,11212,African,40.66988739,-73.9093747
CINNAMON GARDEN,Manhattan,328,EAST    6 STREET,10003,Indian,40.72703577,-73.9877114
KAVKAZKIY DVORIK,Brooklyn,2715,AVENUE U,11229,Mediterranean,40.60014015,-73.9445115
NOORMAN'S KIL,Brooklyn,609,GRAND STREET,11211,American,40.71127506,-73.94778042
STOP INN RESTAURANT & CAFE,Queens,6022,ROOSEVELT AVENUE,11377,American,40.74549882,-73.9041215
SWAGAT INDIAN RESTAURANT,Manhattan,205,WEST   29 STREET,10001,Indian,40.74806937,-73.99340984
CHERYL'S GLOBAL SOUL,Brooklyn,236,UNDERHILL AVENUE,11238,American,40.67347852,-73.96727363
NIRVANA,Brooklyn,2340,CONEY ISLAND AVENUE,11223,Middle Eastern,40.59980671,-73.96131417
COTTA BENE,Brooklyn,291,3 AVENUE,11215,Italian,40.67694904,-73.98640476
AMELIE,Manhattan,22,WEST    8 STREET,10011,French,40.73263023,-73.99727578
EASTEND BAR & GRILL,Manhattan,1664,1 AVENUE,10028,American,40.77737224,-73.94899574
SABOR GUATEMALTECO,Queens,10316,ROOSEVELT AVE,11368,Spanish,40.74953801,-73.86254181
SWELL DIVE,Brooklyn,1013,BEDFORD AVENUE,11205,Tex-Mex,40.68927332,-73.95507799
JING JIANG SEAFOOD RESTAURANT,Brooklyn,4619,8 AVENUE,11220,Chinese,40.6431918,-74.00153144
LOS TAQUITOS DEL TIO,Queens,32-15,JUNCTION BOULEVARD,11369,Spanish,40.75798612,-73.87427722
CHICK'NCONE,Manhattan,1000S,8 AVENUE,10019,Chicken,40.76681223,-73.98280875
BC KOSHER CAFE,Brooklyn,2900,BEDFORD AVENUE,11210,Jewish/Kosher,40.63168414,-73.95265622
KOKI O,Queens,22140,HORACE HARDING EXPY,11364,Korean,40.74939249,-73.75536473
BIBBLE & SIP,Manhattan,174,HESTER STREET,10013,Café/Coffee/Tea,40.71800063,-73.99752169
HANG CHOU,Manhattan,2266,3 AVENUE,10035,Chinese,40.80258486,-73.93663762
PARTNERS COFFEE ROASTERS,Brooklyn,125,NORTH    6 STREET,11249,Café/Coffee/Tea,40.71782871,-73.95919639
GOLDEN TERRACE BANQUET HALL,Queens,120-23,ATLANTIC AVENUE,11418,Indian,40.69438536,-73.82666288
BEAN POST PUB,Brooklyn,7525,5 AVENUE,11209,American,40.62922411,-74.02273253
NEW CARRIZAL RESTAURANT,Brooklyn,1346,BROADWAY,11221,Spanish,40.68984619,-73.92270375
SHI LIN XIANG SEAFOOD,Queens,13532,40TH RD,11354,Chinese,40.75884874,-73.83011497
MIKE'S PIZZA OF BROOKLYN,Brooklyn,2026,BEDFORD AVENUE,11226,Pizza/Italian,40.65532915,-73.95634072
DZIUPLA,Brooklyn,194,BEDFORD AVENUE,11249,Polish,40.71746053,-73.95813243
HOSTOS COMMUNITY COLLEGE,Bronx,500,GRAND CONCOURSE,10451,American,40.81807904,-73.92751473
KNAPP ST PIZZA II,Brooklyn,261,AVENUE X,11223,Pizza/Italian,40.59020886,-73.97328784
ORCHID DYNASTY RESTAURANT,Brooklyn,7706,NEW UTRECHT AVENUE,11214,Chinese,40.61401477,-74.00045022
DOCKS RESTAURANT,Manhattan,633,3 AVENUE,10017,Seafood,40.74990309,-73.97506063
CLAUDETTE,Manhattan,24,5 AVENUE,10011,French,40.73300347,-73.99581082
THE ARMORY,Brooklyn,67,4 AVENUE,11217,American,40.68218784,-73.97979843
COLOMBIA FAMA BAKERY,Queens,60-17,ROOSEVELT AVENUE,11377,Bakery,40.74550984,-73.90417201
TRIPLE 8 RESTAURANT,Bronx,736,EAST  152 STREET,10455,Chinese,40.81595141,-73.90774437
CHARLIE'S CORNER RESTAURANT & DELI,Brooklyn,537,PARK AVENUE,11205,Spanish,40.69698056,-73.95488164
NEW CITY ASIAN CUISINE,Brooklyn,236,KNICKERBOCKER AVENUE,11237,Chinese,40.70291597,-73.92560269
LUCKY THAILAND KITCHEN,Queens,8605,JAMAICA AVENUE,11421,Thai,40.69258402,-73.85803671
DON CHINGON,Brooklyn,216,FLATBUSH AVENUE,11217,Mexican,40.68113023,-73.97534604
NANATORI JAPANESE RESTAURANT,Brooklyn,162,MONTAGUE STREET,11201,Japanese,40.6943762,-73.99284539
1 HOTEL EMPLOYEE DINING KITCHEN #36,Brooklyn,60,FURMAN STREET,11201,American,40.70157861,-73.99552788
GASTROTECA ASTORIA,Queens,Feb-33,34 AVENUE,11106,Italian,40.75884602,-73.92552554
SUBWAY AND JUICE,Queens,30-25,STRATTON STREET,11354,Sandwiches/Salads/Mixed Buffet,40.76967254,-73.83470115
ARTURO'S,Manhattan,106,WEST HOUSTON STREET,10012,Italian,40.72723405,-74.00051594
BOCA CHICA QUEENS,Queens,9620,37 AVENUE,11368,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",40.75160318,-73.87057537
I X CAFE,Brooklyn,43,LINCOLN ROAD,11225,Mexican,40.66080404,-73.96133994
DOMINO'S PIZZA,Bronx,3484,BOSTON ROAD,10469,Pizza/Italian,40.87681153,-73.84700692
NORTHERLY,Brooklyn,181,HAVEMEYER STREET,11211,Café/Coffee/Tea,40.71066722,-73.95811146
PIZZA HUT,Queens,22003,HILLSIDE AVENUE,11427,Pizza/Italian,40.73036258,-73.74386722
SHU JIAO FUZHOUESE CUISINE,Manhattan,118,ELDRIDGE STREET,10002,Chinese,40.7182721,-73.99189045
FAMOUS ORIGINAL RAY'S PIZZA,Manhattan,204,9 AVENUE,10011,Pizza/Italian,40.74614821,-74.00155907
TACOS EL CHULETON,Bronx,2399,GRAND CONCOURSE,10468,Mexican,40.86004878,-73.89844981
NEW TACO EXPRESS,Manhattan,130,EAST   28 STREET,10016,Tex-Mex,40.74272969,-73.98269229
THE LITTLE BEET TABLE,Manhattan,333,PARK AVENUE SOUTH,10010,American,40.74117656,-73.98562656
ROTI BOTI RESTAURANT,Queens,9月27日,21 STREET,11102,Pakistani,40.77196361,-73.92612458
Brooklyn Wing House,Brooklyn,1218,UNION STREET,11225,American,40.66897682,-73.95111564
BEDFORD FALLS,Manhattan,206,EAST   67 STREET,10065,American,40.76636274,-73.96250224
HUNAN BISTRO,Manhattan,96,3 AVENUE,10003,Chinese,40.73228104,-73.98792692
RUSTY'S BAR,Staten Island,879,FOREST AVENUE,10310,American,40.62881347,-74.11874525
LA RUBIA RESTAURANT,Manhattan,3517,BROADWAY,10031,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",40.82585628,-73.95087348
KISSENA CAFE,Queens,Apr-60,KISSENA BOULEVARD,11355,Chinese,40.73980709,-73.81513016
CHINA COCINA,Queens,10310,ROOSEVELT AVE,11368,Chinese,40.74987557,-73.86250863
JIREH RESTAURANT,Brooklyn,8715,18 AVENUE,11214,Spanish,40.60485256,-74.00514266
MELANIE'S ROTI & GRILL RESTAURANT,Bronx,1248,CASTLE HILL AVENUE,10462,Caribbean,40.83325552,-73.85134274
P.J. CLARKE'S ON THE HUDSON,Manhattan,4,WORLD FINANCIAL CENTER,10281,American,40.71451922,-74.01567349
PETALUMA,Manhattan,1356,1 AVENUE,10021,Italian,40.76818009,-73.95570688
FRANKIE & JOHNNIE'S STEAKHOUSE,Manhattan,320,WEST   46 STREET,10036,Steak,40.76012948,-73.98875931
FONDA,Manhattan,40,AVENUE B,10009,Mexican,40.7228137,-73.98287065
MCDONALD'S,Queens,0,JFK INTL AIRPORT TERMINAL 4,11430,Hamburgers,40.64831283,-73.7882815
LA TERNURA,Brooklyn,4210,3 AVENUE,11232,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",40.6520378,-74.01006557
HUNAN HOUSE,Manhattan,40,WEST   56 STREET,10019,Chinese,40.76285578,-73.97584271
MAMOUN FALAFEL,Manhattan,119,MACDOUGAL STREET,10012,Middle Eastern,40.73020663,-74.00031751
EAST DRAGON,Queens,9517,57 AVENUE,11368,Chinese,40.73670985,-73.86559588
LAS MARGARITAS SUNSET,Brooklyn,425,GRAHAM AVENUE,11211,Mexican,40.71773217,-73.94492187
KAIETEUR RESTAURANT,Bronx,4379,WHITE PLAINS ROAD,10466,Caribbean,40.89782701,-73.85480054
LOBO,Brooklyn,218,COURT STREET,11201,Tex-Mex,40.68654816,-73.9938919
AKDENIZ MEDITERRANEAN CUISINE,Manhattan,19,WEST   46 STREET,10036,Turkish,40.75640912,-73.97992021
MILLY'S CORNER RESTAURANT AND BAR,Bronx,1129,LONGWOOD AVENUE,10474,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",40.81462699,-73.89338213
8090 Taiwanese Food #24,Queens,133-35,ROOSEVELT AVENUE,11354,Chinese,40.758502,-73.83324181
25th AVE DELI,Queens,48-19,25 AVENUE,11103,Delicatessen,40.76486117,-73.90508626
HOUDINI KITCHEN LAB,Queens,1563,DECATUR STREET,11385,Pizza/Italian,40.69387103,-73.90242902
BERGEN BAGELS,Brooklyn,473,BERGEN STREET,11217,Delicatessen,40.68081174,-73.97486664
CHIRPING CHICKEN,Manhattan,587,9 AVENUE,10036,Chicken,40.75862291,-73.99249916
DANTE,Manhattan,79,MACDOUGAL STREET,10012,Italian,40.72877111,-74.00153341
CHOP'T,Manhattan,1,NEW YORK PLZ,10004,Salads,40.70253319,-74.01256178
TIMMY'S DELI,Queens,111-02,ROOSEVELT AVENUE,11368,American,40.75162377,-73.85562213
GRANO,Manhattan,645,5TH AVE,10022,Italian,40.75912577,-73.97640718
RED LOTUS BAKERY & CAFE,Queens,255-07,NORTHERN BOULEVARD,11362,Bakery,40.77202851,-73.73433378
VARIETY,Brooklyn,368,GRAHAM AVENUE,11211,Café/Coffee/Tea,40.71539068,-73.94451619
GLEASON'S TAVERN,Manhattan,206,WEST   41 STREET,10036,American,40.75558957,-73.98799848
EL SABOR DEL AUSTRO RESTAURANT,Queens,580,SENECA AVENUE,11385,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",40.70442849,-73.91045646
L.A. BURRITO,Brooklyn,67,WILSON AVENUE,11237,Mexican,40.70225629,-73.92844541
HONG KONG JACKIE CHINESE RESTAURANT,Bronx,610,MELROSE AVENUE,10455,Chinese,40.81736665,-73.91716832
BUTLER,Brooklyn,40,WATER STREET,11201,Café/Coffee/Tea,40.70328294,-73.99221327
DUNKIN',Queens,432,BEACH  129 STREET,11694,Donuts,40.57852723,-73.84946757
DUNKIN' BASKIN ROBBINS,Brooklyn,148,SMITH STREET,11201,Donuts,40.68662753,-73.99054216
HIBACHI MASTER,Brooklyn,8512,5 AVENUE,11209,Japanese,40.62198546,-74.02580276
ARTIE'S,Bronx,394,CITY ISLAND AVENUE,10464,Italian,40.8495163,-73.78734583
KINSHIP COFFEE,Queens,3005,STEINWAY ST,11103,Café/Coffee/Tea,40.76342272,-73.91535851
BEL-AIRE DINER,Queens,31-91,21 STREET,11106,American,40.76536033,-73.93153973
KONBINI,Manhattan,312,5 AVENUE,10001,Japanese,40.74691312,-73.98567945
DAVID'S BAGELS,Manhattan,273,1 AVENUE,10003,American,40.73243117,-73.98164498
JACK'S WIFE FREDA,Manhattan,224,LAFAYETTE STREET,10012,American,40.7220519,-73.99734837
COLD STONE CREAMERY,Manhattan,241A,WEST   42 STREET,10036,"Ice Cream, Gelato, Yogurt, Ices",40.75680283,-73.98875987
JAMAO COFFEE SHOP RESTAURANT,Queens,177-16,LIBERTY AVENUE,11433,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",40.70541779,-73.78227812
DELMAR PIZZERIA,Brooklyn,1668,SHEEPSHEAD BAY ROAD,11235,Pizza/Italian,40.5863703,-73.95224923
YANKEE JZ PIZZA,Bronx,1599,WESTCHESTER AVENUE,10472,Pizza/Italian,40.82917833,-73.87570682
INDUSTRY KITCHEN,Manhattan,70,SOUTH STREET,10005,American,40.7048723,-74.0053127
MISS LILY'S 7A,Manhattan,109,AVENUE A,10009,Caribbean,40.72596206,-73.98360945
NEW LUCKY STAR KITCHEN,Queens,809,ASTORIA BLVD,11102,Chinese,40.77256849,-73.93225437
EL PALACIO SEAFOOD MARKET,Manhattan,1049,SAINT NICHOLAS AVENUE,10032,Seafood,40.83647053,-73.94003118
CAPPONE'S SALUMERIA,Manhattan,1,NEW YORK PLZ,10004,Sandwiches,40.70253319,-74.01256178
BEST JOY SIANG RESTAURANT,Queens,4121,NATIONAL ST,11368,Chinese,40.7484299,-73.86319375
EAST GARDEN,Queens,3110,36 AVENUE,11106,Chinese,40.75648534,-73.92958169
LA CABANA PERUANA,Queens,9304,LIBERTY AVE,11417,Peruvian,40.68018639,-73.84570754
101 CAFE,Queens,9805,101 AVENUE,11416,American,40.68506321,-73.8432011
CLEVER BLEND,Queens,6月27日,QUEENS PLAZA SOUTH,11101,Café/Coffee/Tea,40.75009306,-73.93968697
FINANCIER PATISSERIE,Manhattan,15,VANDERBILT AVENUE,10017,Café/Coffee/Tea,40.7527857,-73.97807333
DA MIKELLE II,Queens,102-39,QUEENS BOULEVARD,11375,Jewish/Kosher,40.72547103,-73.85086614
UTOPIA DINER,Manhattan,267,AMSTERDAM AVENUE,10023,American,40.77891089,-73.98138659
SERAFINA 105,Manhattan,2735-2737,BROADWAY,10025,Italian,40.80029231,-73.96804901
UGLY KITCHEN,Manhattan,103,1 AVENUE,10003,Filipino,40.72659642,-73.98602298
DAY BREAK CAFE RESTAURANT,Queens,Jan-45,34 AVENUE,11101,American,40.75475029,-73.91674477
CAFE GOSSIP,Brooklyn,1977,86 STREET,11214,American,40.60484718,-73.99864231
YSL BAKERY,Queens,13685,41ST AVE,11355,Bakery,40.75867698,-73.82904695
STARBUCKS,Manhattan,2,BROADWAY,10004,Café/Coffee/Tea,40.70411137,-74.01318603
YONAH SHIMMELS KNISHES,Manhattan,137,EAST HOUSTON STREET,10002,Eastern European,40.72334703,-73.9900571
LE PAIN QUOTIDIEN,Manhattan,922,7 AVENUE,10019,Sandwiches,40.76640544,-73.97940817
PERSHING SQUARE CAFE,Manhattan,90,EAST   42 STREET,10017,American,40.75212964,-73.9777415
RETRO BLENDS (RETRO FITNESS),Brooklyn,2244,CHURCH AVENUE,11226,"Juice, Smoothies, Fruit Salads",40.65041655,-73.9578251
DESI CUISINE,Queens,6208,ROOSEVELT AVE,11377,Bangladeshi,40.74573574,-73.90190526
TACO BELL CANTINA 034646,Manhattan,224,7 AVENUE,10011,Tex-Mex,40.74419661,-73.99557915
DONGWON SUSHI & TUNA,Queens,4119,162ND ST,11358,Japanese,40.76108231,-73.80387693
Grand Slam,Queens,13101,FOWLER AVE,11355,Chinese,40.75182363,-73.83299872
NEW CANARSIE CHICKEN & GYRO,Brooklyn,1206,REMSEN AVENUE,11236,Chicken,40.64008444,-73.90582653
RESOBOX,Queens,41-26,27 STREET,11101,Japanese,40.75141003,-73.93871488
CAFFE ITALIA,Brooklyn,6917,18 AVENUE,11204,Café/Coffee/Tea,40.616666,-73.99265204
JIN RAMEN,Manhattan,3183,BROADWAY,10027,Japanese,40.81532499,-73.95856196
DE MOLE ASTORIA,Queens,4220,30TH AVE,11103,Mexican,40.7630176,-73.91316783
CHOCK FULL O' NUTS,Brooklyn,1611,AVENUE M,11230,Café/Coffee/Tea,40.61813555,-73.95889376
SAPORI,Manhattan,105,MULBERRY STREET,10013,Italian,40.71741327,-73.99840192
HOLIDAY INN EXPRESS,Brooklyn,625,UNION STREET,11215,Continental,40.67795612,-73.98443608
JOE'S PIZZA & PASTA,Queens,5607,MARATHON PKWY,11362,Pizza/Italian,40.76018948,-73.7316125
ROYAL INDIA PALACE AND RESTAURANT,Queens,11808,ATLANTIC AVENUE,11419,Indian,40.6938614,-73.82868368
PICCOLO CAFE,Manhattan,313,AMSTERDAM AVENUE,10023,Italian,40.78032152,-73.98036794
SHUN WON FLUSHING,Queens,4127,MAIN ST,11355,Chinese,40.75738972,-73.82907192
SUBWAY,Manhattan,367,WEST   34 STREET,10001,Sandwiches,40.75293592,-73.99522485
TING HUA CHINESE RESTAURANT,Brooklyn,351,SMITH STREET,11231,Chinese,40.67993606,-73.99504983
VIVA MEXICO MEXICAN CUISINE,Manhattan,1577,SAINT NICHOLAS AVENUE,10040,Mexican,40.85416578,-73.93019362
101 MEAT SHOP,Queens,11601,101ST AVE,11419,Indian,40.68927444,-73.82839261
GRINI'S GRILL & RESTAURANT,Manhattan,100,WEST  143 STREET,10030,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",40.8191937,-73.93733349
TOKYO YA,Brooklyn,5603,7 AVENUE,11220,Chinese/Japanese,40.63898093,-74.0094943
HALAL BUFFET,Queens,11318,SUTPHIN BLVD,11435,Middle Eastern,40.68673148,-73.79425276
BRAVO AFRICAN RESTAURANT 2,Bronx,3744,WHITE PLAINS ROAD,10467,African,40.88268928,-73.86328167
NEW NOODLE 28,Manhattan,417,3 AVENUE,10016,Chinese,40.74273204,-73.98028884
TEMPEST BAR,Manhattan,407,8 AVENUE,10001,Irish,40.74987002,-73.9951601
SISTER JANE,Manhattan,349,EAST   13 STREET,10003,American,40.73116348,-73.98426846
39 KINGS,Queens,Jul-39,PRINCE STREET,11354,Chinese,40.75953533,-73.83225376
TONY'S PIER RESTAURANT,Bronx,1,CITY ISLAND AVENUE,10464,Seafood,40.83765897,-73.78292064
