Date,Max,Avg,Min
29-Feb,24,19.1,16
1-Mar,33,20.7,6
2-Mar,44,35.3,29
3-Mar,49,39.9,35
4-Mar,45,37,33
5-Mar,41,34.9,32
6-Mar,43,35.5,29
7-Mar,36,27.8,21
8-Mar,53,35.8,20
9-Mar,68,48,29
10-Mar,59,47,38
11-Mar,38,33.4,28
12-Mar,51,41.8,33
13-Mar,52,45.3,38
14-Mar,38,36.5,34
15-Mar,41,32.5,27
16-Mar,46,32.8,20
17-Mar,43,40.3,35
18-Mar,47,37,20
19-Mar,49,43.4,39
20-Mar,71,50.8,36
21-Mar,38,30.8,24
22-Mar,40,29,16
23-Mar,33,30.9,30
24-Mar,39,32.1,23
25-Mar,42,36.9,31
26-Mar,62,46.3,29
27-Mar,49,42.3,31
28-Mar,47,39.4,27
29-Mar,52,46.7,43
30-Mar,50,45,42
31-Mar,51,43.1,39
1-Apr,50,41.4,34
2-Apr,53,41.9,30
3-Apr,50,44.6,40
4-Apr,57,49.8,43
5-Apr,56,50.4,43
6-Apr,55,44.4,31
7-Apr,61,49.8,36
8-Apr,51,45.6,38
9-Apr,48,42.3,36
10-Apr,41,35.2,33
11-Apr,44,36.4,28
12-Apr,60,45.7,26
13-Apr,68,56.8,42
14-Apr,45,41.2,38
15-Apr,43,34,29
16-Apr,39,31.8,26
17-Apr,43,34,27
18-Apr,47,37.6,29
19-Apr,60,43.5,28
20-Apr,49,38.6,30
21-Apr,49,37.1,30
22-Apr,39,32,28
23-Apr,49,37.5,22
24-Apr,51,45.5,41
25-Apr,64,51,34
26-Apr,52,44.8,38
27-Apr,45,41.3,33
28-Apr,58,37.9,28
29-Apr,63,53.5,42
30-Apr,56,52.3,49
1-May,54,51.4,47
2-May,65,50.2,42
3-May,75,61.2,51
4-May,50,45.7,37
5-May,51,40.9,30
6-May,57,44.5,29
7-May,60,44.2,30
8-May,48,38.4,30
9-May,39,33,28
10-May,50,40.9,34
11-May,54,43.1,38
12-May,48,39.9,31
13-May,55,39.9,25
14-May,67,51.1,29
15-May,79,61.5,53
16-May,65,56.3,50
17-May,74,59.2,41
18-May,66,59,55
