Date,Max,Avg,Min
29-Feb-20,35,31.2,27
1-Mar-20,44,35.5,26
2-Mar-20,56,48.2,38
3-Mar-20,58,52.4,48
4-Mar-20,57,50.5,46
5-Mar-20,52,44.8,40
6-Mar-20,45,41.6,37
7-Mar-20,47,41,37
8-Mar-20,60,47.8,37
9-Mar-20,72,59.3,47
10-Mar-20,66,61,55
11-Mar-20,56,50.4,44
12-Mar-20,48,44.7,42
13-Mar-20,70,54.6,43
14-Mar-20,55,48.9,45
15-Mar-20,53,46.8,42
16-Mar-20,43,39.3,34
17-Mar-20,55,47.5,41
18-Mar-20,53,47.6,44
19-Mar-20,52,46.2,42
20-Mar-20,77,56,47
21-Mar-20,67,48.5,42
22-Mar-20,43,38.4,35
23-Mar-20,42,39.2,37
24-Mar-20,53,44,37
25-Mar-20,45,42.8,41
26-Mar-20,58,47,39
27-Mar-20,67,57.5,51
28-Mar-20,51,46.4,45
29-Mar-20,47,45.5,45
30-Mar-20,49,45.7,42
31-Mar-20,48,44.1,41
1-Apr-20,55,45.5,39
2-Apr-20,58,49.2,40
3-Apr-20,52,49.6,46
4-Apr-20,60,50.9,46
5-Apr-20,62,52.8,47
6-Apr-20,66,55.8,48
7-Apr-20,65,57.4,54
8-Apr-20,62,53.7,49
9-Apr-20,58,52.8,48
10-Apr-20,49,44.2,40
11-Apr-20,55,47.8,40
12-Apr-20,61,53.4,44
13-Apr-20,68,58.4,53
14-Apr-20,59,52.5,48
15-Apr-20,52,48,43
16-Apr-20,48,45.6,40
17-Apr-20,50,43.9,39
18-Apr-20,47,44.3,42
19-Apr-20,61,52.7,42
20-Apr-20,57,52.7,50
21-Apr-20,58,50.8,41
22-Apr-20,51,44.3,38
23-Apr-20,49,45.1,42
24-Apr-20,50,47,43
25-Apr-20,63,53.2,44
26-Apr-20,50,47.6,44
27-Apr-20,49,45,41
28-Apr-20,65,52.3,44
29-Apr-20,57,50,46
30-Apr-20,62,55.2,49
1-May-20,66,58.1,55
2-May-20,72,63.6,53
3-May-20,80,68.7,55
4-May-20,71,62.5,51
5-May-20,63,54.7,47
6-May-20,52,49.4,47
7-May-20,67,57.8,49
8-May-20,58,48.8,44
9-May-20,48,41.4,36
10-May-20,65,53.7,42
11-May-20,59,53.7,47
12-May-20,59,52,45
13-May-20,63,52.2,43
14-May-20,65,58.6,49
15-May-20,85,73.4,59
16-May-20,76,69.5,63
17-May-20,68,59.5,55
18-May-20,66,59.3,55
19-May-20,68,60.2,55
20-May-20,64,56.5,51
21-May-20,66,55.6,48
22-May-20,76,65.7,56
23-May-20,66,62.1,57
24-May-20,68,59.5,52
25-May-20,66,59.9,56
26-May-20,76,63.3,58
27-May-20,78,65.5,60
28-May-20,76,68,63
29-May-20,81,71.4,65
30-May-20,83,73.7,66
31-May-20,70,64.5,59
1-Jun-20,72,62.8,54
2-Jun-20,75,69.5,63
3-Jun-20,82,72.4,63
4-Jun-20,88,77.3,69
5-Jun-20,82,74.2,69
6-Jun-20,89,78.2,70
7-Jun-20,77,71.4,65
8-Jun-20,80,72,64
9-Jun-20,91,81.2,69
10-Jun-20,84,75.5,69
11-Jun-20,81,74,70
12-Jun-20,86,78.7,70
13-Jun-20,76,68.7,62
14-Jun-20,75,65,55
15-Jun-20,76,67.9,62
16-Jun-20,79,70.6,63
17-Jun-20,78,69.7,63
18-Jun-20,77,69.8,66
19-Jun-20,85,73.6,68
20-Jun-20,87,78.8,73
21-Jun-20,88,79.6,74
22-Jun-20,93,82.6,76
23-Jun-20,87,80.8,76
24-Jun-20,88,81.9,76
25-Jun-20,88,80.2,74
26-Jun-20,89,81.1,73
27-Jun-20,82,79.6,76
28-Jun-20,91,81.8,73
29-Jun-20,89,78.5,73
30-Jun-20,79,73.9,70
1-Jul-20,83,75.8,69
2-Jul-20,94,82,70
3-Jul-20,92,79.8,72
4-Jul-20,86,75.1,70
5-Jul-20,95,82.5,74
6-Jul-20,95,82.3,74
7-Jul-20,81,76,73
8-Jul-20,87,81.6,78
9-Jul-20,90,83.2,78
10-Jul-20,79,75.8,73
11-Jul-20,87,80.5,75
12-Jul-20,92,83.3,76
13-Jul-20,89,82.9,76
14-Jul-20,87,80.3,74
15-Jul-20,82,75.5,72
16-Jul-20,79,74.4,71
17-Jul-20,86,77.6,71
18-Jul-20,94,82.7,74
19-Jul-20,96,87.7,80
20-Jul-20,95,89.4,84
21-Jul-20,93,86,79
22-Jul-20,94,82.4,75
23-Jul-20,91,82.6,76
24-Jul-20,83,77.7,75
25-Jul-20,91,83,74
26-Jul-20,95,88.1,80
27-Jul-20,97,90.2,82
28-Jul-20,96,88.5,84
29-Jul-20,90,84.5,79
30-Jul-20,95,86.8,81
31-Jul-20,84,76.8,72
1-Aug-20,89,81.4,74
2-Aug-20,90,83.7,77
3-Aug-20,92,83.5,74
4-Aug-20,82,78.1,74
5-Aug-20,89,82.8,77
6-Aug-20,82,77.7,74
7-Aug-20,79,74.9,71
8-Aug-20,85,76.6,72
9-Aug-20,88,81,75
10-Aug-20,94,85.4,79
11-Aug-20,88,83.7,80
12-Aug-20,90,82.6,78
13-Aug-20,82,77.8,76
14-Aug-20,88,79.9,74
15-Aug-20,85,77.5,74
16-Aug-20,73,70.6,69
17-Aug-20,82,72.8,69
18-Aug-20,85,76.3,67
19-Aug-20,78,72.5,70
20-Aug-20,83,74.4,68
21-Aug-20,87,79.1,72
22-Aug-20,91,83.5,77
23-Aug-20,86,81.5,77
24-Aug-20,93,85,78
25-Aug-20,92,82.8,71
26-Aug-20,79,74.9,70
27-Aug-20,94,80.8,72
28-Aug-20,89,80,76
29-Aug-20,83,78,75
30-Aug-20,81,75.3,71
31-Aug-20,76,72.1,67
1-Sep-20,80,72.5,68
2-Sep-20,81,74.8,70
3-Sep-20,88,78.6,75
4-Sep-20,87,79.3,74
5-Sep-20,81,74.6,69
6-Sep-20,84,76.3,70
7-Sep-20,80,75.1,71
8-Sep-20,84,76,71
9-Sep-20,80,75.7,72
10-Sep-20,85,77.3,75
11-Sep-20,78,74.2,68
12-Sep-20,73,67.3,63
13-Sep-20,77,71.2,64
14-Sep-20,77,72.8,64
15-Sep-20,67,61.4,55
16-Sep-20,72,67,60
17-Sep-20,77,71.8,67
18-Sep-20,72,66.5,59
19-Sep-20,65,58.3,51
20-Sep-20,64,58.7,52
21-Sep-20,65,59.5,52
22-Sep-20,74,63.7,55
23-Sep-20,80,71.5,62
24-Sep-20,77,72.1,66
25-Sep-20,80,70.5,65
26-Sep-20,77,71.5,67
27-Sep-20,78,73.4,70
28-Sep-20,78,72.9,71
29-Sep-20,74,72.1,69
30-Sep-20,73,67.7,63
