Date,Max,Avg,Min
29-Feb,32,25.7,19
1-Mar,39,30.1,19
2-Mar,61,45.3,28
3-Mar,59,51.7,46
4-Mar,52,44.4,37
5-Mar,48,40.5,36
6-Mar,43,37.2,30
7-Mar,45,36.5,32
8-Mar,59,43.1,28
9-Mar,70,56.7,37
10-Mar,63,58,52
11-Mar,50,44,36
12-Mar,46,40.6,30
13-Mar,66,51.8,43
14-Mar,48,42.7,36
15-Mar,52,42.2,36
16-Mar,45,34.4,23
17-Mar,50,40.8,34
18-Mar,54,42.7,30
19-Mar,48,42.6,37
20-Mar,70,54.8,45
21-Mar,54,42.8,34
22-Mar,46,35,25
23-Mar,34,33.2,30
24-Mar,50,38.9,32
25-Mar,45,38.7,34
26-Mar,59,43.8,28
27-Mar,64,53.6,45
28-Mar,46,42.9,39
29-Mar,48,45.3,43
30-Mar,48,44,41
31-Mar,48,42.3,37
1-Apr,54,43.7,36
2-Apr,55,44.3,30
3-Apr,52,47.2,43
4-Apr,63,53,46
5-Apr,63,54.6,46
6-Apr,63,53.9,45
7-Apr,68,55.4,46
8-Apr,55,50,43
9-Apr,52,46,39
10-Apr,43,40.6,36
11-Apr,52,42.1,34
12-Apr,61,48.9,28
13-Apr,64,59,50
14-Apr,54,47.5,43
15-Apr,48,42.7,36
16-Apr,45,39.8,32
17-Apr,46,37.1,28
18-Apr,45,37.8,34
19-Apr,61,47,30
20-Apr,55,46.6,37
21-Apr,50,42.4,34
22-Apr,46,38.2,30
23-Apr,46,38.8,30
24-Apr,48,42.4,37
25-Apr,63,50.6,36
26-Apr,50,44.4,37
27-Apr,46,41.6,37
28-Apr,63,49.9,37
29-Apr,55,48,39
30-Apr,61,52.1,45
1-May,61,56.8,55
2-May,72,59.5,46
3-May,77,66.7,55
4-May,66,56.3,46
5-May,61,50.1,41
6-May,54,47.8,43
7-May,64,52.3,41
8-May,50,44,34
9-May,43,35.8,30
10-May,61,48.8,34
11-May,54,46.7,39
12-May,55,47,41
13-May,59,47.1,32
14-May,70,54.8,36
15-May,82,68.2,55
16-May,73,65.9,57
17-May,70,61.3,54
18-May,70,61.8,55
19-May,68,59.4,52
20-May,66,56.9,46
21-May,73,58.3,39
22-May,79,65.5,52
23-May,70,64.2,57
24-May,72,60.1,46
25-May,73,62.4,54
26-May,84,70.3,57
27-May,82,70.8,61
28-May,75,69.7,64
29-May,84,74,68
30-May,77,69.1,63
31-May,66,58.5,50
1-Jun,68,55.8,43
2-Jun,72,61.3,52
3-Jun,81,67.6,57
4-Jun,82,72.4,61
5-Jun,81,72.7,66
6-Jun,84,74.5,64
7-Jun,73,64.9,50
8-Jun,79,64.7,50
9-Jun,88,73.1,57
10-Jun,84,76.2,64
11-Jun,84,76.1,72
12-Jun,81,72.7,61
13-Jun,73,61,52
14-Jun,70,59.3,48
15-Jun,75,61.5,0
16-Jun,81,67,54
17-Jun,82,69.8,54
18-Jun,82,72.5,64
19-Jun,84,74.5,64
20-Jun,88,76,66
21-Jun,86,76.5,66
22-Jun,91,79.5,68
23-Jun,88,79.1,70
24-Jun,82,75.5,68
25-Jun,84,73.2,61
26-Jun,86,73.6,61
27-Jun,75,68.3,59
28-Jun,82,70.8,63
29-Jun,84,69.8,61
30-Jun,77,69,63
1-Jul,79,70.9,64
2-Jul,90,75.5,63
3-Jul,82,74.7,70
4-Jul,88,76.7,68
5-Jul,90,78.4,66
6-Jul,91,78.3,68
7-Jul,81,73.5,68
8-Jul,82,73.8,70
9-Jul,90,77.5,68
10-Jul,79,74.2,72
11-Jul,84,76.5,72
12-Jul,86,76,68
13-Jul,84,75.3,66
14-Jul,82,72.7,63
15-Jul,81,72.5,63
16-Jul,77,71.1,66
17-Jul,82,71.8,66
18-Jul,88,76.9,63
19-Jul,93,81.2,68
20-Jul,90,80.6,73
21-Jul,88,78.3,68
22-Jul,90,78,72
23-Jul,88,77.1,70
24-Jul,81,75.7,72
25-Jul,88,78.6,68
26-Jul,90,80.1,72
27-Jul,93,81.9,68
28-Jul,88,80.3,72
29-Jul,90,78.5,66
30-Jul,86,76.4,68
31-Jul,88,76.4,68
1-Aug,90,77.3,63
2-Aug,88,78.6,73
3-Aug,86,78,70
4-Aug,73,71.2,68
5-Aug,84,73.8,64
6-Aug,82,72.3,63
7-Aug,79,72.8,66
8-Aug,84,75.3,64
9-Aug,86,78,68
10-Aug,90,78.5,68
11-Aug,90,79.5,68
12-Aug,88,80.1,70
13-Aug,82,76.2,70
14-Aug,86,76.1,68
15-Aug,84,73.9,64
16-Aug,70,66.3,64
17-Aug,77,67.8,57
18-Aug,81,70.1,59
19-Aug,77,67.4,59
20-Aug,77,66,54
21-Aug,84,71.8,57
22-Aug,90,76.5,68
23-Aug,86,77.3,66
24-Aug,90,78.7,68
25-Aug,90,76.3,68
26-Aug,75,68.5,61
27-Aug,91,70.6,63
28-Aug,81,74.4,66
29-Aug,82,74.3,70
30-Aug,75,68.1,57
31-Aug,75,64.7,52
1-Sep,73,68,63
2-Sep,77,71,66
3-Sep,81,73.8,66
4-Sep,81,71.5,63
5-Sep,77,65.7,52
6-Sep,77,68.8,57
7-Sep,79,69.8,59
8-Sep,84,72,61
9-Sep,82,72.3,63
10-Sep,81,74.2,70
11-Sep,73,67.1,59
12-Sep,72,60.9,50
13-Sep,77,66.9,55
14-Sep,75,65.8,54
15-Sep,64,53.9,45
16-Sep,70,58.4,46
17-Sep,73,62.7,52
18-Sep,68,59.6,50
19-Sep,63,51,39
20-Sep,63,50.4,41
21-Sep,64,50.3,36
22-Sep,72,50.5,36
23-Sep,79,62.8,46
24-Sep,75,62.8,50
25-Sep,79,66.3,55
26-Sep,77,65.5,54
27-Sep,77,70.8,64
28-Sep,77,72,68
29-Sep,75,69.2,64
30-Sep,72,63.2,57
