Date,Max,Avg,Min
29-Feb-20,25,21.6,19
1-Mar-20,43,30.4,22
2-Mar-20,62,45.4,26
3-Mar-20,55,48.1,39
4-Mar-20,49,41.2,36
5-Mar-20,49,37.2,26
6-Mar-20,45,33.7,24
7-Mar-20,40,29.6,21
8-Mar-20,62,39.1,19
9-Mar-20,71,54.3,32
10-Mar-20,60,52.6,41
11-Mar-20,44,36.1,26
12-Mar-20,56,46,39
13-Mar-20,58,50.4,40
14-Mar-20,46,38.7,32
15-Mar-20,42,34.5,25
16-Mar-20,51,35.1,15
17-Mar-20,48,42.7,30
18-Mar-20,54,40.5,23
19-Mar-20,53,47.3,42
20-Mar-20,70,58.3,42
21-Mar-20,41,32.2,23
22-Mar-20,43,30.3,15
23-Mar-20,39,34.9,33
24-Mar-20,40,36.8,35
25-Mar-20,48,40.6,34
26-Mar-20,63,38.3,26
27-Mar-20,56,44.9,31
28-Mar-20,46,42.4,32
29-Mar-20,59,51.7,45
30-Mar-20,49,41.8,35
31-Mar-20,48,43.5,39
1-Apr-20,49,41.2,31
2-Apr-20,52,41.2,27
3-Apr-20,44,41.8,39
4-Apr-20,56,48.1,42
5-Apr-20,64,45.2,36
6-Apr-20,61,43,27
7-Apr-20,65,53.2,37
8-Apr-20,62,50.2,37
9-Apr-20,51,41.5,34
10-Apr-20,40,36.3,34
11-Apr-20,50,38.5,26
12-Apr-20,65,47,24
13-Apr-20,70,58.6,43
14-Apr-20,49,43,37
15-Apr-20,46,36.5,29
16-Apr-20,40,32.6,23
17-Apr-20,41,33.6,21
18-Apr-20,46,36.7,27
19-Apr-20,61,45.5,24
20-Apr-20,52,41,31
21-Apr-20,50,38.4,26
22-Apr-20,43,34.3,26
23-Apr-20,50,35.5,26
24-Apr-20,57,46.3,38
25-Apr-20,62,50.1,42
26-Apr-20,56,42.9,38
27-Apr-20,47,40.6,30
28-Apr-20,61,40.5,27
29-Apr-20,68,52.1,35
30-Apr-20,63,57.6,53
1-May-20,62,51.5,47
2-May-20,68,53.7,36
3-May-20,79,59.4,46
4-May-20,50,46.8,40
5-May-20,55,44,33
6-May-20,52,41.4,33
7-May-20,60,45.3,29
8-May-20,48,36.3,28
9-May-20,40,34.5,27
10-May-20,62,48.7,30
11-May-20,55,43.9,39
12-May-20,51,41.2,29
13-May-20,58,39.5,25
14-May-20,71,51.4,32
15-May-20,84,61.2,50
16-May-20,68,59.3,51
17-May-20,72,57.5,41
18-May-20,62,58.8,56
19-May-20,73,64.2,58
20-May-20,72,59.2,44
21-May-20,76,63.4,34
22-May-20,76,66,48
23-May-20,79,68.4,62
24-May-20,79,67.9,61
25-May-20,86,68.4,61
26-May-20,91,71,61
27-May-20,82,69.6,60
28-May-20,81,73,65
29-May-20,85,73.7,66
30-May-20,74,64.4,54
31-May-20,59,52.3,42
1-Jun-20,70,55.7,41
2-Jun-20,73,60.8,51
3-Jun-20,82,68.2,60
4-Jun-20,84,66.3,54
5-Jun-20,84,72.7,63
6-Jun-20,80,68,57
7-Jun-20,70,62.1,51
8-Jun-20,78,61.9,42
9-Jun-20,92,71.5,51
10-Jun-20,89,75.2,59
11-Jun-20,79,74.1,57
12-Jun-20,76,60.7,47
13-Jun-20,65,53.3,42
14-Jun-20,70,54.2,36
15-Jun-20,75,59.3,41
16-Jun-20,81,62.6,41
17-Jun-20,84,61.6,45
18-Jun-20,84,68.8,54
19-Jun-20,81,64.9,56
20-Jun-20,85,67.4,60
21-Jun-20,87,66.7,58
22-Jun-20,90,73.2,59
23-Jun-20,86,74.1,65
24-Jun-20,79,69.1,56
25-Jun-20,78,62,48
26-Jun-20,82,60.9,53
27-Jun-20,80,66.7,53
28-Jun-20,85,69,59
29-Jun-20,85,72.2,58
30-Jun-20,78,68.9,61
1-Jul-20,83,72.2,63
2-Jul-20,93,76.9,60
3-Jul-20,88,78.5,68
4-Jul-20,88,70,62
5-Jul-20,92,70.5,53
6-Jul-20,93,73.4,57
7-Jul-20,89,72.4,61
8-Jul-20,92,74.8,66
9-Jul-20,94,75.8,66
10-Jul-20,89,76.4,68
11-Jul-20,86,74.7,69
12-Jul-20,85,73.2,66
13-Jul-20,80,69.6,60
14-Jul-20,82,69.7,57
15-Jul-20,88,66,53
16-Jul-20,76,72.9,66
17-Jul-20,87,75.8,62
18-Jul-20,94,69.2,56
19-Jul-20,95,74.2,61
20-Jul-20,89,75.7,67
