Date,Max,Avg,Min
29-Feb-20,22,18.4,15
1-Mar-20,36,27.5,19
2-Mar-20,59,45.6,35
3-Mar-20,54,45.4,37
4-Mar-20,42,36.9,32
5-Mar-20,46,35.6,30
6-Mar-20,45,35.9,28
7-Mar-20,33,25.1,18
8-Mar-20,58,40.3,18
9-Mar-20,68,54.8,36
10-Mar-20,58,50.9,34
11-Mar-20,42,34.6,27
12-Mar-20,52,43.8,34
13-Mar-20,55,46.8,39
14-Mar-20,38,34.4,30
15-Mar-20,39,30.9,19
16-Mar-20,50,32.4,14
17-Mar-20,43,38.7,36
18-Mar-20,51,38,23
19-Mar-20,50,44.7,40
20-Mar-20,68,54.2,36
21-Mar-20,34,28.2,18
22-Mar-20,43,27.8,11
23-Mar-20,36,32.8,30
24-Mar-20,36,33.6,32
25-Mar-20,47,38,29
26-Mar-20,62,47.2,35
27-Mar-20,47,39.7,32
28-Mar-20,43,37.8,29
29-Mar-20,56,50.7,43
30-Mar-20,47,43.5,39
31-Mar-20,46,41.5,38
1-Apr-20,46,39.1,32
2-Apr-20,48,39,29
3-Apr-20,42,38.5,34
4-Apr-20,53,39.1,0
5-Apr-20,55,47,37
6-Apr-20,55,42.4,31
7-Apr-20,61,48.9,35
8-Apr-20,54,45.6,39
9-Apr-20,48,38.9,32
10-Apr-20,40,34.4,31
11-Apr-20,47,35.9,27
12-Apr-20,62,46.2,25
13-Apr-20,66,54.6,42
14-Apr-20,46,40.1,36
15-Apr-20,42,32.9,23
16-Apr-20,37,30.5,23
17-Apr-20,40,25.1,0
18-Apr-20,43,32.3,0
19-Apr-20,59,44.8,32
20-Apr-20,47,37.1,28
21-Apr-20,48,36.1,30
22-Apr-20,39,30.7,26
23-Apr-20,42,35,28
24-Apr-20,52,43.1,39
25-Apr-20,61,47.9,37
26-Apr-20,55,42.7,33
27-Apr-20,42,38.1,31
28-Apr-20,58,42.5,28
29-Apr-20,64,52.5,43
30-Apr-20,62,55.3,51
1-May-20,57,48.5,43
2-May-20,66,49,37
3-May-20,75,62.4,50
4-May-20,49,43.1,38
5-May-20,50,38.5,30
6-May-20,49,38.6,30
7-May-20,58,42.1,27
8-May-20,44,35.6,30
9-May-20,37,30.4,26
10-May-20,57,43.8,34
11-May-20,52,42.7,36
12-May-20,47,37,29
13-May-20,53,39,24
14-May-20,68,50.7,32
15-May-20,81,62,55
16-May-20,62,54.4,46
17-May-20,73,55.1,42
18-May-20,60,57,54
19-May-20,71,62.2,55
20-May-20,71,59,47
21-May-20,76,60.7,46
22-May-20,76,65,54
23-May-20,79,66.5,61
24-May-20,78,66,56
25-May-20,81,69.6,59
26-May-20,90,75.8,63
27-May-20,83,73.9,66
28-May-20,77,71.1,66
29-May-20,82,71.9,62
30-May-20,69,59.7,50
31-May-20,57,48.8,41
1-Jun-20,67,53.6,39
2-Jun-20,66,58.6,51
3-Jun-20,74,64.4,57
4-Jun-20,85,68,54
5-Jun-20,85,72.3,65
6-Jun-20,77,65.9,54
7-Jun-20,67,57.4,48
8-Jun-20,73,58.7,44
9-Jun-20,87,69.9,50
10-Jun-20,88,77.2,66
11-Jun-20,77,71.7,57
12-Jun-20,71,60.7,50
13-Jun-20,60,50.1,42
14-Jun-20,65,52,38
15-Jun-20,71,57.1,41
16-Jun-20,80,62.7,45
17-Jun-20,84,68.1,52
18-Jun-20,85,68.8,57
19-Jun-20,81,68.6,60
20-Jun-20,86,71.7,60
21-Jun-20,87,75,64
22-Jun-20,91,76.6,63
23-Jun-20,86,74.3,67
24-Jun-20,77,67.1,55
25-Jun-20,77,64.7,52
26-Jun-20,80,67.5,56
27-Jun-20,77,65.6,56
28-Jun-20,79,69.5,62
29-Jun-20,81,66.6,59
30-Jun-20,74,65.6,62
1-Jul-20,79,66.9,62
2-Jul-20,88,73.6,59
3-Jul-20,84,75.1,66
4-Jul-20,86,72.2,60
5-Jul-20,88,71.9,57
6-Jul-20,90,75.4,62
7-Jul-20,86,75.8,68
8-Jul-20,87,75,68
9-Jul-20,93,76.6,64
10-Jul-20,89,76.4,69
11-Jul-20,83,72.4,68
12-Jul-20,83,72,66
13-Jul-20,78,66.5,59
14-Jul-20,78,65.9,55
15-Jul-20,86,71.9,58
16-Jul-20,73,70.6,68
17-Jul-20,82,73.3,63
18-Jul-20,88,73,59
19-Jul-20,91,75.7,64
20-Jul-20,84,75.9,69
21-Jul-20,79,70.4,60
22-Jul-20,82,73.7,63
