Date,Max,Avg,Min
29-Feb,25,21.6,19
1-Mar,43,30.4,22
2-Mar,62,45.4,26
3-Mar,55,48.1,39
4-Mar,49,41.2,36
5-Mar,49,37.2,26
6-Mar,45,33.7,24
7-Mar,40,29.6,21
8-Mar,62,39.1,19
9-Mar,71,54.3,32
10-Mar,60,52.6,41
11-Mar,44,36.1,26
12-Mar,56,46,39
13-Mar,58,50.4,40
14-Mar,46,38.7,32
15-Mar,42,34.5,25
16-Mar,51,35.1,15
17-Mar,48,42.7,30
18-Mar,54,40.5,23
19-Mar,53,47.3,42
20-Mar,70,58.3,42
21-Mar,41,32.2,23
22-Mar,43,30.3,15
23-Mar,39,34.9,33
24-Mar,40,36.8,35
25-Mar,48,40.6,34
26-Mar,63,38.3,26
27-Mar,56,44.9,31
28-Mar,46,42.4,32
29-Mar,59,51.7,45
30-Mar,49,41.8,35
31-Mar,48,43.5,39
1-Apr,49,41.2,31
2-Apr,52,41.2,27
3-Apr,44,41.8,39
4-Apr,56,48.1,42
5-Apr,64,45.2,36
6-Apr,61,43,27
7-Apr,65,53.2,37
8-Apr,62,50.2,37
9-Apr,51,41.5,34
10-Apr,40,36.3,34
11-Apr,50,38.5,26
12-Apr,65,47,24
13-Apr,70,58.6,43
14-Apr,49,43,37
15-Apr,46,36.5,29
16-Apr,40,32.6,23
17-Apr,41,33.6,21
18-Apr,46,36.7,27
19-Apr,61,45.5,24
20-Apr,52,41,31
21-Apr,50,38.4,26
22-Apr,43,34.3,26
23-Apr,50,35.5,26
24-Apr,57,46.3,38
25-Apr,62,50.1,42
26-Apr,56,42.9,38
27-Apr,47,40.6,30
28-Apr,61,40.5,27
29-Apr,68,52.1,35
30-Apr,63,57.6,53
1-May,62,51.5,47
2-May,68,53.7,36
3-May,79,59.4,46
4-May,50,46.8,40
5-May,55,44,33
6-May,52,41.4,33
7-May,60,45.3,29
8-May,48,36.3,28
9-May,40,34.5,27
10-May,62,48.7,30
11-May,55,43.9,39
12-May,51,41.2,29
13-May,58,39.5,25
14-May,71,51.4,32
15-May,84,61.2,50
16-May,68,59.3,51
17-May,72,57.5,41
18-May,62,58.8,56
19-May,73,64.2,58
20-May,72,59.2,44
21-May,76,63.4,34
22-May,76,66,48
23-May,79,68.4,62
24-May,79,67.9,61
25-May,86,68.4,61
26-May,91,71,61
27-May,82,69.6,60
28-May,81,73,65
29-May,85,73.7,66
30-May,74,64.4,54
31-May,59,52.3,42
1-Jun,59,52.4,42
2-Jun,70,55.7,41
3-Jun,73,60.8,51
4-Jun,82,68.2,60
5-Jun,84,66.3,54
6-Jun,84,72.7,63
7-Jun,80,68,57
8-Jun,70,62.1,51
9-Jun,78,61.9,42
10-Jun,92,71.5,51
11-Jun,89,75.2,59
12-Jun,79,74.1,57
13-Jun,76,60.7,47
14-Jun,65,53.3,42
15-Jun,70,54.2,36
16-Jun,75,59.3,41
17-Jun,81,62.6,41
18-Jun,84,61.6,45
19-Jun,84,68.8,54
20-Jun,81,64.9,56
21-Jun,85,67.4,60
22-Jun,87,66.7,58
23-Jun,90,73.2,59
24-Jun,86,74.1,65
25-Jun,79,69.1,56
26-Jun,78,62,48
27-Jun,82,60.9,53
28-Jun,80,66.7,53
29-Jun,85,69,59
30-Jun,85,72.2,58
1-Jul,78,68.9,61
2-Jul,83,72.2,63
3-Jul,93,76.9,60
4-Jul,88,78.5,68
5-Jul,88,70,62
6-Jul,92,70.5,53
7-Jul,93,73.4,57
8-Jul,89,72.4,61
9-Jul,92,74.8,66
10-Jul,94,75.8,66
11-Jul,89,76.4,68
12-Jul,86,74.7,69
13-Jul,85,73.2,66
14-Jul,80,69.6,60
15-Jul,82,69.7,57
16-Jul,88,66,53
17-Jul,76,72.9,66
18-Jul,87,75.8,62
19-Jul,94,69.2,56
20-Jul,95,74.2,61
21-Jul,89,75.7,67
22-Jul,83,73.2,59
23-Jul,85,74.3,64
24-Jul,85,74.6,68
25-Jul,86,72.7,67
26-Jul,89,75.4,65
27-Jul,89,75.7,60
28-Jul,95,78,61
29-Jul,87,76.2,63
30-Jul,88,71,55
31-Jul,82,69.7,61
1-Aug,87,66.7,56
2-Aug,90,70.2,53
3-Aug,91,79.7,69
4-Aug,86,76.2,69
5-Aug,78,70.8,62
6-Aug,79,68.8,60
7-Aug,81,67.6,52
8-Aug,78,69.5,61
9-Aug,85,69.4,61
10-Aug,90,71.2,58
11-Aug,93,75,63
12-Aug,91,73.2,64
13-Aug,85,72.6,57
14-Aug,88,71.8,56
15-Aug,87,70.8,57
16-Aug,85,72.2,60
17-Aug,83,73.2,63
18-Aug,84,70.9,63
19-Aug,78,66,58
20-Aug,75,61.5,50
21-Aug,81,55.5,42
22-Aug,87,69.5,51
23-Aug,90,72.5,54
24-Aug,89,67.9,56
25-Aug,88,71.1,64
26-Aug,85,71.3,60
27-Aug,77,65,0
28-Aug,92,73.9,63
29-Aug,80,68.2,62
30-Aug,86,72.4,65
31-Aug,75,66,55
1-Sep,77,59.4,47
2-Sep,73,70.2,67
3-Sep,79,73.8,68
4-Sep,77,66,59
5-Sep,79,67.7,55
6-Sep,77,61,44
7-Sep,78,61.9,55
8-Sep,82,68.3,55
9-Sep,91,68.4,56
10-Sep,91,65.7,55
11-Sep,86,70.3,61
12-Sep,67,59.9,43
13-Sep,70,52.4,41
14-Sep,72,66.4,60
15-Sep,68,59,41
16-Sep,69,46.7,35
17-Sep,77,54,37
18-Sep,66,54.3,43
19-Sep,63,50.7,35
20-Sep,62,46.5,30
21-Sep,65,47.3,32
22-Sep,70,47.1,28
23-Sep,73,50.8,30
24-Sep,82,62.1,45
25-Sep,81,63,48
26-Sep,83,59,48
27-Sep,81,55.9,45
28-Sep,84,60.6,49
29-Sep,85,70,56
30-Sep,74,58.5,55
