Date,Max,Avg,Min
29-Feb,35,31.2,27
1-Mar,44,35.5,26
2-Mar,56,48.2,38
3-Mar,58,52.4,48
4-Mar,57,50.5,46
5-Mar,52,44.8,40
6-Mar,45,41.6,37
7-Mar,47,41,37
8-Mar,60,47.8,37
9-Mar,72,59.3,47
10-Mar,66,61,55
11-Mar,56,50.4,44
12-Mar,48,44.7,42
13-Mar,70,54.6,43
14-Mar,55,48.9,45
15-Mar,53,46.8,42
16-Mar,43,39.3,34
17-Mar,55,47.5,41
18-Mar,53,47.6,44
19-Mar,52,46.2,42
20-Mar,77,56,47
21-Mar,67,48.5,42
22-Mar,43,38.4,35
23-Mar,42,39.2,37
24-Mar,53,44,37
25-Mar,45,42.8,41
26-Mar,58,47,39
27-Mar,67,57.5,51
28-Mar,51,46.4,45
29-Mar,47,45.5,45
30-Mar,49,45.7,42
31-Mar,48,44.1,41
1-Apr,55,45.5,39
2-Apr,58,49.2,40
3-Apr,52,49.6,46
4-Apr,60,50.9,46
5-Apr,62,52.8,47
6-Apr,66,55.8,48
7-Apr,65,57.4,54
8-Apr,62,53.7,49
9-Apr,58,52.8,48
10-Apr,49,44.2,40
11-Apr,55,47.8,40
12-Apr,61,53.4,44
13-Apr,68,58.4,53
14-Apr,59,52.5,48
15-Apr,52,48,43
16-Apr,48,45.6,40
17-Apr,50,43.9,39
18-Apr,47,44.3,42
19-Apr,61,52.7,42
20-Apr,57,52.7,50
21-Apr,58,50.8,41
22-Apr,51,44.3,38
23-Apr,49,45.1,42
24-Apr,50,47,43
25-Apr,63,53.2,44
26-Apr,50,47.6,44
27-Apr,49,45,41
28-Apr,65,52.3,44
29-Apr,57,50,46
30-Apr,62,55.2,49
1-May,66,58.1,55
2-May,72,63.6,53
3-May,80,68.7,55
4-May,71,62.5,51
5-May,63,54.7,47
6-May,52,49.4,47
7-May,67,57.8,49
8-May,58,48.8,44
9-May,48,41.4,36
10-May,65,53.7,42
11-May,59,53.7,47
12-May,59,52,45
13-May,63,52.2,43
14-May,65,58.6,49
15-May,85,73.4,59
16-May,76,69.5,63
17-May,68,59.5,55
18-May,66,59.3,55
19-May,68,60.2,55
20-May,64,56.5,51
21-May,66,55.6,48
22-May,76,65.7,56
23-May,66,62.1,57
24-May,68,59.5,52
25-May,66,59.9,56
26-May,76,63.3,58
27-May,78,65.5,60
28-May,76,68,63
29-May,81,71.4,65
30-May,83,73.7,66
31-May,70,64.5,59
1-Jun,72,62.8,54
2-Jun,75,69.5,63
3-Jun,82,72.4,63
4-Jun,88,77.3,69
5-Jun,82,74.2,69
6-Jun,89,78.2,70
7-Jun,77,71.4,65
8-Jun,80,72,64
9-Jun,91,81.2,69
10-Jun,84,75.5,69
11-Jun,81,74,70
12-Jun,86,78.7,70
13-Jun,76,68.7,62
14-Jun,75,65,55
15-Jun,76,67.9,62
16-Jun,79,70.6,63
17-Jun,78,69.7,63
18-Jun,77,69.8,66
19-Jun,85,73.6,68
20-Jun,87,78.8,73
21-Jun,88,79.6,74
22-Jun,93,82.6,76
23-Jun,87,80.8,76
24-Jun,88,81.9,76
25-Jun,88,80.2,74
26-Jun,89,81.1,73
27-Jun,82,79.6,76
28-Jun,91,81.8,73
29-Jun,89,78.5,73
30-Jun,79,73.9,70
1-Jul,83,75.8,69
2-Jul,94,82,70
3-Jul,92,79.8,72
4-Jul,86,75.1,70
5-Jul,95,82.5,74
6-Jul,95,82.3,74
7-Jul,81,76,73
8-Jul,87,81.6,78
9-Jul,90,83.2,78
10-Jul,79,75.8,73
11-Jul,87,80.5,75
12-Jul,92,83.3,76
13-Jul,89,82.9,76
14-Jul,87,80.3,74
15-Jul,82,75.5,72
16-Jul,79,74.4,71
17-Jul,86,77.6,71
18-Jul,94,82.7,74
19-Jul,96,87.7,80
20-Jul,95,89.4,84
21-Jul,93,86,79
22-Jul,94,82.4,75
23-Jul,91,82.6,76
24-Jul,83,77.7,75
25-Jul,91,83,74
26-Jul,95,88.1,80
27-Jul,97,90.2,82
28-Jul,96,88.5,84
