Date,Max,Avg,Min
29-Feb,29,24.3,20
1-Mar,36,27.1,17
2-Mar,57,44.4,31
3-Mar,62,49.7,37
4-Mar,49,43.4,39
5-Mar,47,39.1,30
6-Mar,48,37.1,27
7-Mar,45,33.9,27
8-Mar,58,41.2,27
9-Mar,75,59.5,46
10-Mar,62,56.5,45
11-Mar,46,40.9,35
12-Mar,52,43.2,34
13-Mar,56,47.2,41
14-Mar,45,41.3,39
15-Mar,47,37.4,27
16-Mar,46,34.3,22
17-Mar,49,40.2,35
18-Mar,53,44,32
19-Mar,51,44.5,38
20-Mar,74,53,45
21-Mar,46,39.1,30
22-Mar,41,32,23
23-Mar,37,33.9,32
24-Mar,42,37.1,33
25-Mar,47,36.8,29
26-Mar,59,45.5,29
27-Mar,60,51.5,44
28-Mar,51,41.5,31
29-Mar,51,46,43
30-Mar,47,44,41
31-Mar,48,42.1,38
1-Apr,55,43.6,33
2-Apr,57,45.9,39
3-Apr,51,46.5,42
4-Apr,62,53.8,46
5-Apr,62,53.8,49
6-Apr,61,50.8,40
7-Apr,64,55.3,42
8-Apr,59,49.8,45
9-Apr,51,46.8,41
10-Apr,47,42,37
11-Apr,49,41.6,34
12-Apr,63,49.2,30
13-Apr,63,60,51
14-Apr,51,46.6,42
15-Apr,47,41.5,36
16-Apr,44,37.5,33
17-Apr,49,39.2,29
18-Apr,48,38.9,34
19-Apr,67,49.9,30
20-Apr,54,45.6,38
21-Apr,51,40.9,33
22-Apr,44,36.1,31
23-Apr,55,42,29
24-Apr,53,45.5,41
25-Apr,66,54.5,40
26-Apr,56,47.8,38
27-Apr,46,42.3,37
28-Apr,62,50,39
29-Apr,65,53.3,39
30-Apr,58,52.2,47
1-May,61,57.7,53
2-May,71,58.8,44
3-May,78,67.3,55
4-May,61,53.9,47
5-May,58,48.1,38
6-May,57,49.5,37
7-May,64,54.8,44
8-May,57,45.1,35
9-May,43,37.5,33
10-May,57,47.5,37
11-May,61,46,0
12-May,52,45.1,37
13-May,58,47.3,30
14-May,70,55.7,34
15-May,84,68,57
16-May,72,64.5,56
17-May,73,62.9,54
18-May,68,60.2,55
19-May,70,61.9,52
20-May,74,61.9,45
21-May,77,63.6,48
22-May,82,70.4,57
23-May,84,73.3,63
24-May,79,66,50
25-May,79,67,56
26-May,89,76.6,64
27-May,88,77.6,68
28-May,82,74.6,68
29-May,89,77.6,72
30-May,77,67.6,58
31-May,62,56.2,50
1-Jun,67,55.3,43
2-Jun,69,59.5,47
3-Jun,81,67,59
4-Jun,88,75.7,59
5-Jun,84,77.2,71
6-Jun,85,75,62
7-Jun,73,64.5,55
8-Jun,80,66.8,50
9-Jun,88,72.4,61
10-Jun,85,74.9,59
11-Jun,88,76.3,67
12-Jun,80,69,57
13-Jun,64,56.8,47
14-Jun,70,57.7,45
15-Jun,77,64.2,50
16-Jun,82,67.5,51
17-Jun,86,73.2,56
18-Jun,87,74.4,63
19-Jun,86,77.5,70
20-Jun,91,80.3,68
21-Jun,92,81.5,69
22-Jun,94,83.4,70
23-Jun,91,83.4,75
24-Jun,83,75.5,68
