Date,Max,Avg,Min
29-Feb-20,34,29.4,24
1-Mar-20,43,33.2,23
2-Mar-20,59,46.5,29
3-Mar-20,58,51.4,46
4-Mar-20,55,48.5,44
5-Mar-20,53,44,38
6-Mar-20,44,39.3,35
7-Mar-20,48,39.3,35
8-Mar-20,59,44.9,30
9-Mar-20,71,55.1,37
10-Mar-20,65,57.5,47
11-Mar-20,55,49.2,42
12-Mar-20,50,44.3,38
13-Mar-20,70,54.6,43
14-Mar-20,55,47.1,41
15-Mar-20,54,45.9,41
16-Mar-20,43,37.9,31
17-Mar-20,54,45.9,40
18-Mar-20,52,45.9,37
19-Mar-20,51,45.2,39
20-Mar-20,76,56.5,46
21-Mar-20,63,46.9,40
22-Mar-20,43,37.1,32
23-Mar-20,40,36.7,34
24-Mar-20,55,41.6,36
25-Mar-20,45,42,39
26-Mar-20,58,44.3,32
27-Mar-20,67,57.3,49
28-Mar-20,51,46.7,44
29-Mar-20,48,46.2,45
30-Mar-20,50,46.1,42
31-Mar-20,48,43.4,40
1-Apr-20,53,45.4,38
2-Apr-20,58,48.4,37
3-Apr-20,52,49.4,45
4-Apr-20,60,51.1,46
5-Apr-20,63,53.1,46
6-Apr-20,65,55.3,46
7-Apr-20,65,56.2,49
8-Apr-20,64,55.2,48
9-Apr-20,58,50.3,45
10-Apr-20,47,42,37
11-Apr-20,54,45.6,37
12-Apr-20,63,51.1,36
13-Apr-20,67,59.5,55
14-Apr-20,57,51.3,45
15-Apr-20,52,45.9,41
16-Apr-20,46,42.4,36
17-Apr-20,50,40.5,31
18-Apr-20,46,42.5,39
19-Apr-20,61,49.6,33
20-Apr-20,54,50.4,44
21-Apr-20,58,48.2,38
22-Apr-20,50,42.1,35
23-Apr-20,50,43.1,37
24-Apr-20,49,44.5,41
25-Apr-20,62,49.3,37
26-Apr-20,50,46.8,42
27-Apr-20,49,43.9,40
28-Apr-20,66,52.3,39
29-Apr-20,56,49.5,46
30-Apr-20,62,56.1,48
1-May-20,66,58.1,54
2-May-20,72,62.1,50
3-May-20,80,67.4,54
4-May-20,69,61.4,49
5-May-20,63,52.8,45
6-May-20,52,48.5,45
7-May-20,66,56.1,44
8-May-20,55,46.7,39
9-May-20,47,39.4,33
10-May-20,64,50.9,34
11-May-20,60,50.9,44
12-May-20,58,50,41
13-May-20,63,51.5,40
14-May-20,65,56.5,39
15-May-20,85,71.9,58
16-May-20,76,68.9,63
17-May-20,67,60.3,55
18-May-20,68,60.8,55
19-May-20,66,60,54
20-May-20,65,56.3,50
21-May-20,67,56.1,43
22-May-20,75,64,52
23-May-20,69,63.1,57
24-May-20,68,59.2,51
25-May-20,72,61.1,56
26-May-20,78,65.1,58
27-May-20,78,66.8,60
28-May-20,77,69.9,63
29-May-20,82,74,68
30-May-20,81,72.8,67
31-May-20,69,62.3,55
1-Jun-20,70,60.6,48
2-Jun-20,72,64.5,53
3-Jun-20,80,69.6,60
4-Jun-20,86,75.2,62
5-Jun-20,78,72.3,69
6-Jun-20,87,76.2,70
7-Jun-20,77,72.1,65
8-Jun-20,79,69.2,57
9-Jun-20,89,76.6,60
10-Jun-20,86,77,70
11-Jun-20,84,76.2,73
12-Jun-20,84,75.9,67
13-Jun-20,74,66.2,58
14-Jun-20,73,63.1,52
15-Jun-20,76,65.8,55
16-Jun-20,77,67.6,57
17-Jun-20,78,69.2,59
18-Jun-20,78,71.4,65
19-Jun-20,84,72.7,65
20-Jun-20,86,76.2,68
21-Jun-20,86,77.3,67
22-Jun-20,90,80.9,71
23-Jun-20,86,79.5,71
24-Jun-20,85,79.2,74
25-Jun-20,84,76.8,69
26-Jun-20,87,77.1,66
27-Jun-20,81,74.3,65
28-Jun-20,90,77.3,70
29-Jun-20,87,76.4,69
30-Jun-20,79,72.7,66
1-Jul-20,79,73,67
2-Jul-20,93,80.4,66
3-Jul-20,92,80.7,72
4-Jul-20,88,76.4,69
5-Jul-20,93,80.8,71
6-Jul-20,94,78.3,69
7-Jul-20,81,75.5,71
8-Jul-20,86,78.5,75
9-Jul-20,89,80.4,73
10-Jul-20,78,75,73
11-Jul-20,85,78.2,73
12-Jul-20,89,79.8,71
13-Jul-20,86,79,70
14-Jul-20,84,77.5,69
15-Jul-20,80,74.8,70
16-Jul-20,78,73,69
17-Jul-20,85,76,69
18-Jul-20,92,78.5,70
19-Jul-20,95,85.3,74
20-Jul-20,93,86.9,81
21-Jul-20,93,83.9,75
22-Jul-20,91,80.6,73
23-Jul-20,89,79.6,72
24-Jul-20,81,77.5,74
25-Jul-20,90,80.6,70
26-Jul-20,92,84.3,76
27-Jul-20,95,85.6,74
28-Jul-20,93,84.3,78
29-Jul-20,89,81.8,73
30-Jul-20,93,83,74
31-Jul-20,85,75.8,71
1-Aug-20,90,79,67
2-Aug-20,91,82.8,77
3-Aug-20,90,81.5,73
4-Aug-20,80,75.2,71
5-Aug-20,87,78.2,70
6-Aug-20,81,74.2,67
7-Aug-20,80,73.3,68
8-Aug-20,83,74.7,68
9-Aug-20,88,78.4,71
10-Aug-20,92,83.1,74
11-Aug-20,89,81.7,76
12-Aug-20,91,81.3,75
13-Aug-20,79,76.9,73
14-Aug-20,86,79.3,73
15-Aug-20,85,75,67
16-Aug-20,72,68.7,67
17-Aug-20,82,70.4,62
18-Aug-20,83,72.4,62
19-Aug-20,75,69.8,66
20-Aug-20,80,70.6,60
21-Aug-20,86,76,65
22-Aug-20,88,80,72
23-Aug-20,86,78.5,71
24-Aug-20,91,81.8,73
25-Aug-20,90,78.9,72
26-Aug-20,77,71.4,65
27-Aug-20,92,76.5,66
28-Aug-20,86,76.5,68
29-Aug-20,83,75.5,71
30-Aug-20,80,72,65
31-Aug-20,75,68.3,58
1-Sep-20,78,71.4,66
2-Sep-20,81,73.9,68
3-Sep-20,87,76.4,70
4-Sep-20,84,74.8,66
5-Sep-20,79,70.6,62
6-Sep-20,82,71.7,61
7-Sep-20,79,71.3,63
8-Sep-20,84,73.6,64
9-Sep-20,82,73.4,66
10-Sep-20,85,76.9,73
11-Sep-20,76,71.8,63
12-Sep-20,72,64.9,59
13-Sep-20,75,69.2,60
14-Sep-20,76,69.6,57
15-Sep-20,67,58.6,51
16-Sep-20,71,62.2,50
