Date,Max,Avg,Min
29-Feb,24,18.8,14
1-Mar,41,29.8,14
2-Mar,49,45.1,41
3-Mar,52,42.1,37
4-Mar,39,36.7,33
5-Mar,44,35.8,31
6-Mar,37,33.4,31
7-Mar,33,29.9,24
8-Mar,52,43.7,29
9-Mar,61,54.1,48
10-Mar,59,48.5,34
11-Mar,44,33.5,29
12-Mar,54,43.4,35
13-Mar,55,45.1,37
14-Mar,37,34.1,31
15-Mar,39,33.3,28
16-Mar,52,38.4,25
17-Mar,42,39.7,37
18-Mar,50,39.3,30
19-Mar,54,44.8,37
20-Mar,66,55.2,31
21-Mar,34,28.9,25
22-Mar,39,30.5,22
23-Mar,43,39.2,35
24-Mar,43,38.8,37
25-Mar,55,43.8,35
26-Mar,61,48.7,40
27-Mar,55,43.5,39
28-Mar,51,47.4,41
29-Mar,72,55.4,46
30-Mar,49,42.5,40
31-Mar,47,42.4,39
1-Apr,49,42,34
2-Apr,55,44.9,38
3-Apr,47,41.8,38
4-Apr,56,45.5,41
5-Apr,52,46.1,38
6-Apr,52,40.4,32
7-Apr,62,49.3,40
8-Apr,50,45.6,42
9-Apr,47,40.3,34
10-Apr,42,35.9,33
11-Apr,43,37.5,31
12-Apr,66,52,37
13-Apr,64,51.4,41
14-Apr,42,38.4,33
15-Apr,40,33.9,30
16-Apr,36,32.2,26
17-Apr,39,34.7,31
18-Apr,43,38.4,32
19-Apr,52,44.5,37
20-Apr,48,38.5,28
21-Apr,50,38.3,32
22-Apr,38,32,28
23-Apr,39,36.4,33
24-Apr,52,42.8,37
25-Apr,61,48,35
26-Apr,47,44.2,41
27-Apr,56,47.2,42
28-Apr,60,50.6,41
29-Apr,69,59.5,48
30-Apr,63,54.9,46
1-May,50,46.3,44
2-May,64,53.3,41
3-May,65,56.5,49
4-May,52,46.7,40
5-May,50,42.4,34
6-May,54,46.2,39
7-May,56,46.4,37
8-May,44,36.8,31
9-May,41,34.7,30
10-May,53,45.6,39
11-May,44,41,37
12-May,46,40,32
13-May,53,43,30
14-May,67,54.5,40
15-May,74,58.5,50
16-May,66,52.6,44
