Date,Max,Avg,Min
29-Feb-20,20.00,16.10,14.00
1-Mar-20,35.00,22.30,15.00
2-Mar-20,56.00,44.00,33.00
3-Mar-20,51.00,45.40,36.00
4-Mar-20,41.00,35.60,32.00
5-Mar-20,43.00,34.30,30.00
6-Mar-20,40.00,32.90,28.00
7-Mar-20,32.00,26.00,20.00
8-Mar-20,55.00,39.20,22.00
9-Mar-20,66.00,54.50,43.00
10-Mar-20,55.00,48.60,35.00
11-Mar-20,39.00,33.30,28.00
12-Mar-20,48.00,42.90,37.00
13-Mar-20,54.00,45.90,37.00
14-Mar-20,38.00,33.80,29.00
15-Mar-20,40.00,31.90,23.00
16-Mar-20,45.00,31.90,18.00
17-Mar-20,42.00,36.50,33.00
18-Mar-20,49.00,39.40,31.00
19-Mar-20,48.00,40.90,37.00
20-Mar-20,64.00,52.60,38.00
21-Mar-20,36.00,28.60,22.00
22-Mar-20,40.00,27.80,16.00
23-Mar-20,32.00,30.00,28.00
24-Mar-20,34.00,31.60,30.00
25-Mar-20,40.00,34.80,29.00
26-Mar-20,57.00,41.00,32.00
27-Mar-20,50.00,42.60,37.00
28-Mar-20,41.00,37.90,35.00
29-Mar-20,50.00,43.60,39.00
30-Mar-20,48.00,42.90,37.00
31-Mar-20,45.00,39.60,37.00
1-Apr-20,45.00,37.40,32.00
2-Apr-20,45.00,37.60,29.00
3-Apr-20,43.00,38.80,34.00
4-Apr-20,52.00,43.90,39.00
5-Apr-20,59.00,48.30,39.00
6-Apr-20,54.00,43.00,33.00
7-Apr-20,60.00,49.80,38.00
8-Apr-20,56.00,45.70,43.00
9-Apr-20,49.00,41.40,33.00
10-Apr-20,37.00,31.50,28.00
11-Apr-20,45.00,35.50,28.00
12-Apr-20,61.00,46.80,30.00
13-Apr-20,64.00,54.90,40.00
14-Apr-20,44.00,39.20,35.00
15-Apr-20,40.00,32.90,27.00
16-Apr-20,35.00,29.00,24.00
17-Apr-20,39.00,31.10,24.00
18-Apr-20,40.00,33.10,30.00
19-Apr-20,55.00,44.00,32.00
20-Apr-20,49.00,39.10,30.00
21-Apr-20,47.00,33.90,27.00
22-Apr-20,36.00,28.80,24.00
23-Apr-20,42.00,32.40,28.00
24-Apr-20,52.00,42.80,36.00
25-Apr-20,57.00,48.00,38.00
26-Apr-20,51.00,37.20,32.00
27-Apr-20,42.00,37.30,32.00
28-Apr-20,55.00,38.10,30.00
29-Apr-20,59.00,48.70,39.00
30-Apr-20,58.00,53.10,47.00
1-May-20,59.00,50.40,45.00
2-May-20,64.00,52.30,41.00
3-May-20,73.00,61.70,52.00
4-May-20,51.00,43.40,38.00
5-May-20,50.00,40.00,31.00
6-May-20,47.00,39.60,33.00
7-May-20,55.00,43.00,34.00
8-May-20,45.00,33.80,28.00
9-May-20,34.00,29.40,24.00
10-May-20,55.00,40.50,31.00
11-May-20,51.00,42.70,34.00
12-May-20,46.00,35.90,29.00
13-May-20,51.00,28.90,0.00
14-May-20,66.00,40.80,0.00
15-May-20,78.00,60.60,53.00
16-May-20,64.00,54.90,50.00
17-May-20,68.00,56.90,46.00
18-May-20,58.00,55.40,54.00
19-May-20,67.00,58.60,51.00
20-May-20,66.00,55.60,44.00
21-May-20,71.00,57.50,41.00
22-May-20,72.00,62.30,52.00
23-May-20,72.00,63.30,60.00
24-May-20,74.00,60.70,50.00
25-May-20,76.00,63.70,54.00
26-May-20,86.00,73.90,60.00
27-May-20,79.00,71.70,64.00
28-May-20,73.00,68.00,63.00
29-May-20,80.00,68.80,60.00
30-May-20,69.00,57.80,50.00
31-May-20,54.00,48.40,42.00
1-Jun-20,76.00,64.10,58.00
2-Jun-20,85.00,73.80,61.00
3-Jun-20,81.00,74.30,70.00
4-Jun-20,84.00,74.50,65.00
5-Jun-20,85.00,73.80,60.00
6-Jun-20,87.00,75.40,64.00
7-Jun-20,79.00,70.40,63.00
8-Jun-20,84.00,73.50,67.00
9-Jun-20,88.00,71.40,64.00
10-Jun-20,80.00,72.30,68.00
11-Jun-20,80.00,70.70,66.00
12-Jun-20,81.00,68.30,63.00
13-Jun-20,76.00,65.90,60.00
14-Jun-20,78.00,67.80,58.00
15-Jun-20,82.00,70.90,60.00
16-Jun-20,72.00,68.00,64.00
17-Jun-20,80.00,70.80,64.00
18-Jun-20,87.00,75.20,59.00
19-Jun-20,90.00,76.00,69.00
20-Jun-20,84.00,74.30,69.00
21-Jun-20,79.00,71.70,62.00
22-Jun-20,83.00,73.80,64.00
23-Jun-20,81.00,72.60,68.00
24-Jun-20,80.00,70.20,64.00
25-Jun-20,84.00,72.70,62.00
26-Jun-20,85.00,75.20,64.00
27-Jun-20,93.00,77.70,68.00
28-Jun-20,81.00,73.40,68.00
29-Jun-20,84.00,69.60,62.00
30-Jun-20,78.00,70.10,63.00
1-Jul-20,82.00,67.50,57.00
2-Jul-20,83.00,72.70,62.00
3-Jul-20,86.00,74.70,68.00
4-Jul-20,80.00,71.70,66.00
5-Jul-20,71.00,65.70,63.00
6-Jul-20,75.00,66.60,62.00
7-Jul-20,75.00,65.60,56.00
8-Jul-20,72.00,62.00,57.00
9-Jul-20,80.00,66.60,61.00
10-Jul-20,81.00,68.20,61.00
11-Jul-20,84.00,73.40,67.00
12-Jul-20,86.00,74.00,67.00
13-Jul-20,79.00,70.30,63.00
14-Jul-20,80.00,69.60,59.00
15-Jul-20,81.00,71.80,62.00
16-Jul-20,78.00,70.00,63.00
17-Jul-20,76.00,67.30,60.00
18-Jul-20,78.00,66.50,59.00
19-Jul-20,75.00,62.30,57.00
20-Jul-20,69.00,62.50,57.00
21-Jul-20,73.00,62.40,49.00
22-Jul-20,81.00,70.30,60.00
23-Jul-20,82.00,72.40,62.00
24-Jul-20,83.00,72.20,63.00
25-Jul-20,83.00,72.50,64.00
26-Jul-20,79.00,70.30,64.00
27-Jul-20,68.00,61.60,54.00
28-Jul-20,84.00,67.00,59.00
29-Jul-20,73.00,66.70,63.00
30-Jul-20,79.00,69.50,62.00
31-Jul-20,70.00,60.70,55.00
1-Aug-20,70.00,60.60,49.00
2-Aug-20,68.00,64.70,60.00
3-Aug-20,73.00,67.80,63.00
4-Aug-20,72.00,67.00,61.00
5-Aug-20,72.00,64.50,57.00
6-Aug-20,73.00,60.90,51.00
7-Aug-20,70.00,59.40,53.00
8-Aug-20,75.00,66.60,61.00
9-Aug-20,81.00,70.50,59.00
10-Aug-20,79.00,71.50,62.00
11-Aug-20,80.00,69.20,63.00
12-Aug-20,63.00,58.00,48.00
13-Aug-20,67.00,53.60,45.00
14-Aug-20,66.00,60.50,53.00
15-Aug-20,61.00,57.10,47.00
16-Aug-20,60.00,51.30,41.00
17-Aug-20,67.00,56.70,0.00
18-Aug-20,65.00,57.50,50.00
19-Aug-20,59.00,51.20,41.00
20-Aug-20,56.00,45.70,36.00
21-Aug-20,57.00,46.00,36.00
22-Aug-20,61.00,49.10,34.00
23-Aug-20,65.00,51.50,37.00
24-Aug-20,74.00,59.60,46.00
25-Aug-20,74.00,62.50,52.00
26-Aug-20,75.00,64.30,54.00
27-Aug-20,73.00,61.00,54.00
28-Aug-20,73.00,65.10,62.00
29-Aug-20,75.00,66.20,62.00
30-Aug-20,68.00,56.60,52.00
31-Aug-20,75.00,64.70,52.00
1-Sep-20,73.00,68.00,63.00
2-Sep-20,77.00,71.00,66.00
3-Sep-20,81.00,73.80,66.00
4-Sep-20,81.00,71.50,63.00
5-Sep-20,77.00,65.70,52.00
6-Sep-20,77.00,68.80,57.00
7-Sep-20,79.00,69.80,59.00
8-Sep-20,84.00,72.00,61.00
9-Sep-20,82.00,72.30,63.00
10-Sep-20,81.00,74.20,70.00
11-Sep-20,73.00,67.10,59.00
12-Sep-20,72.00,60.90,50.00
13-Sep-20,77.00,66.90,55.00
14-Sep-20,75.00,65.80,54.00
15-Sep-20,64.00,53.90,45.00
16-Sep-20,70.00,58.40,46.00
17-Sep-20,73.00,62.70,52.00
18-Sep-20,68.00,59.60,50.00
19-Sep-20,63.00,51.00,39.00
20-Sep-20,63.00,50.40,41.00
21-Sep-20,64.00,50.30,36.00
22-Sep-20,72.00,50.50,36.00
23-Sep-20,79.00,62.80,46.00
24-Sep-20,75.00,62.80,50.00
25-Sep-20,79.00,66.30,55.00
26-Sep-20,77.00,65.50,54.00
27-Sep-20,77.00,70.80,64.00
28-Sep-20,77.00,72.00,68.00
29-Sep-20,75.00,69.20,64.00
30-Sep-20,72.00,63.20,57.00
