Date,Max,Avg,Min
29-Feb-20,32,25.7,19
1-Mar-20,39,30.1,19
2-Mar-20,61,45.3,28
3-Mar-20,59,51.7,46
4-Mar-20,52,44.4,37
5-Mar-20,48,40.5,36
6-Mar-20,43,37.2,30
7-Mar-20,45,36.5,32
8-Mar-20,59,43.1,28
9-Mar-20,70,56.7,37
10-Mar-20,63,58,52
11-Mar-20,50,44,36
12-Mar-20,46,40.6,30
13-Mar-20,66,51.8,43
14-Mar-20,48,42.7,36
15-Mar-20,52,42.2,36
16-Mar-20,45,34.4,23
17-Mar-20,50,40.8,34
18-Mar-20,54,42.7,30
19-Mar-20,48,42.6,37
20-Mar-20,70,54.8,45
21-Mar-20,54,42.8,34
22-Mar-20,46,35,25
23-Mar-20,34,33.2,30
24-Mar-20,50,38.9,32
25-Mar-20,45,38.7,34
26-Mar-20,59,43.8,28
27-Mar-20,64,53.6,45
28-Mar-20,46,42.9,39
29-Mar-20,48,45.3,43
30-Mar-20,48,44,41
31-Mar-20,48,42.3,37
1-Apr-20,54,43.7,36
2-Apr-20,55,44.3,30
3-Apr-20,52,47.2,43
4-Apr-20,63,53,46
5-Apr-20,63,54.6,46
6-Apr-20,63,53.9,45
7-Apr-20,68,55.4,46
8-Apr-20,55,50,43
9-Apr-20,52,46,39
10-Apr-20,43,40.6,36
11-Apr-20,52,42.1,34
12-Apr-20,61,48.9,28
13-Apr-20,64,59,50
14-Apr-20,54,47.5,43
15-Apr-20,48,42.7,36
16-Apr-20,45,39.8,32
17-Apr-20,46,37.1,28
18-Apr-20,45,37.8,34
19-Apr-20,61,47,30
20-Apr-20,55,46.6,37
21-Apr-20,50,42.4,34
22-Apr-20,46,38.2,30
23-Apr-20,46,38.8,30
24-Apr-20,48,42.4,37
25-Apr-20,63,50.6,36
26-Apr-20,50,44.4,37
27-Apr-20,46,41.6,37
28-Apr-20,63,49.9,37
29-Apr-20,55,48,39
30-Apr-20,61,52.1,45
1-May-20,61,56.8,55
2-May-20,72,59.5,46
3-May-20,77,66.7,55
4-May-20,66,56.3,46
5-May-20,61,50.1,41
6-May-20,54,47.8,43
7-May-20,64,52.3,41
8-May-20,50,44,34
9-May-20,43,35.8,30
10-May-20,61,48.8,34
11-May-20,54,46.7,39
12-May-20,55,47,41
13-May-20,59,47.1,32
14-May-20,70,54.8,36
15-May-20,82,68.2,55
16-May-20,73,65.9,57
17-May-20,70,61.3,54
18-May-20,70,61.8,55
19-May-20,68,59.4,52
20-May-20,66,56.9,46
21-May-20,73,58.3,39
22-May-20,79,65.5,52
23-May-20,70,64.2,57
24-May-20,72,60.1,46
25-May-20,73,62.4,54
26-May-20,84,70.3,57
27-May-20,82,70.8,61
28-May-20,75,69.7,64
29-May-20,84,74,68
30-May-20,77,69.1,63
31-May-20,66,58.5,50
1-Jun-20,68,55.8,43
2-Jun-20,72,61.3,52
3-Jun-20,81,67.6,57
4-Jun-20,82,72.4,61
5-Jun-20,81,72.7,66
6-Jun-20,84,74.5,64
7-Jun-20,73,64.9,50
8-Jun-20,79,64.7,50
9-Jun-20,88,73.1,57
10-Jun-20,84,76.2,64
11-Jun-20,84,76.1,72
12-Jun-20,81,72.7,61
13-Jun-20,73,61,52
14-Jun-20,70,59.3,48
15-Jun-20,75,61.5,0
16-Jun-20,81,67,54
17-Jun-20,82,69.8,54
18-Jun-20,82,72.5,64
19-Jun-20,84,74.5,64
20-Jun-20,88,76,66
21-Jun-20,86,76.5,66
22-Jun-20,91,79.5,68
23-Jun-20,88,79.1,70
24-Jun-20,82,75.5,68
25-Jun-20,84,73.2,61
26-Jun-20,86,73.6,61
27-Jun-20,75,68.3,59
28-Jun-20,82,70.8,63
29-Jun-20,84,69.8,61
30-Jun-20,77,69,63
1-Jul-20,79,70.9,64
2-Jul-20,90,75.5,63
3-Jul-20,82,74.7,70
4-Jul-20,88,76.7,68
5-Jul-20,90,78.4,66
6-Jul-20,91,78.3,68
7-Jul-20,81,73.5,68
8-Jul-20,82,73.8,70
9-Jul-20,90,77.5,68
