Date,Max,Avg,Min
29-Feb-20,22,17.8,12
1-Mar-20,39,23.1,4
2-Mar-20,45,42.2,38
3-Mar-20,48,39.9,37
4-Mar-20,41,36.1,32
5-Mar-20,42,33.5,27
6-Mar-20,35,32.2,28
7-Mar-20,35,29.2,23
8-Mar-20,51,42.5,30
9-Mar-20,58,52.2,46
10-Mar-20,57,46.5,30
11-Mar-20,42,31.3,25
12-Mar-20,51,40.1,32
13-Mar-20,53,44.6,36
14-Mar-20,36,33.5,31
15-Mar-20,36,31.3,25
16-Mar-20,48,34.2,22
17-Mar-20,44,38.6,33
18-Mar-20,45,35,25
19-Mar-20,49,40.6,34
20-Mar-20,63,52.8,30
21-Mar-20,30,26.3,22
22-Mar-20,37,28.2,19
23-Mar-20,41,36,31
24-Mar-20,41,36.6,34
25-Mar-20,53,41.9,32
26-Mar-20,59,46.7,38
27-Mar-20,50,40.7,37
28-Mar-20,50,45.3,38
29-Mar-20,70,52.3,45
30-Mar-20,47,42.5,40
31-Mar-20,46,40.7,38
1-Apr-20,49,41.1,33
2-Apr-20,55,43.6,33
3-Apr-20,48,42,36
4-Apr-20,53,44,39
5-Apr-20,50,44.8,36
6-Apr-20,55,41.6,28
7-Apr-20,61,46.9,34
8-Apr-20,54,44.7,40
9-Apr-20,48,39.5,32
10-Apr-20,42,36.3,32
11-Apr-20,44,36.5,27
12-Apr-20,63,50.2,35
13-Apr-20,61,51.4,39
14-Apr-20,42,37,30
15-Apr-20,40,33,26
16-Apr-20,39,31.4,22
17-Apr-20,39,32.9,26
18-Apr-20,45,36.8,28
19-Apr-20,49,43.6,35
20-Apr-20,48,36.9,26
21-Apr-20,47,38.4,30
22-Apr-20,42,30.7,27
23-Apr-20,41,35.7,29
24-Apr-20,48,42.1,37
25-Apr-20,59,45.8,29
26-Apr-20,47,42.2,39
27-Apr-20,56,46.7,39
28-Apr-20,60,49,37
29-Apr-20,69,57.5,45
30-Apr-20,59,54,46
1-May-20,55,47.2,41
2-May-20,60,51.1,39
3-May-20,70,57.9,46
4-May-20,50,45.4,38
5-May-20,50,41.2,31
6-May-20,54,45.3,38
7-May-20,58,44.9,34
8-May-20,41,35.7,31
9-May-20,41,33.2,29
10-May-20,53,43.2,34
11-May-20,43,38.9,33
12-May-20,46,37.4,25
13-May-20,54,42,28
14-May-20,66,51.3,38
15-May-20,74,59,48
16-May-20,65,52,46
17-May-20,65,54.5,46
18-May-20,59,54.7,51
19-May-20,67,59,52
20-May-20,74,60.8,50
21-May-20,74,59.9,45
22-May-20,76,64.6,50
23-May-20,76,64.9,61
24-May-20,83,72.7,61
25-May-20,85,74,65
26-May-20,90,77.9,64
27-May-20,85,76.5,68
28-May-20,79,68.8,63
29-May-20,74,66,57
30-May-20,65,57.8,49
31-May-20,58,50.5,43
1-Jun-20,68,57.4,47
2-Jun-20,74,63.1,55
3-Jun-20,77,65.1,59
4-Jun-20,82,68.2,54
5-Jun-20,81,69.7,62
6-Jun-20,75,68.3,60
7-Jun-20,68,61.5,54
8-Jun-20,74,63.7,52
9-Jun-20,85,73.3,58
10-Jun-20,89,76,66
11-Jun-20,72,67.5,62
12-Jun-20,65,60.3,50
13-Jun-20,63,54,47
14-Jun-20,65,55.9,44
15-Jun-20,73,60.6,46
16-Jun-20,77,63.3,47
17-Jun-20,81,69,53
18-Jun-20,83,73.3,59
19-Jun-20,84,74.8,66
20-Jun-20,85,74.5,64
21-Jun-20,88,77.5,66
22-Jun-20,86,75.1,69
23-Jun-20,80,70.6,64
24-Jun-20,71,64.7,60
25-Jun-20,76,67.2,56
26-Jun-20,80,70.9,62
27-Jun-20,78,70.8,64
28-Jun-20,81,70.8,64
29-Jun-20,85,75.1,63
30-Jun-20,81,73,63
1-Jul-20,85,74.7,63
2-Jul-20,90,78.1,67
3-Jul-20,87,78.1,66
4-Jul-20,85,77,68
5-Jul-20,88,76.4,61
6-Jul-20,91,78.6,63
7-Jul-20,92,80,67
8-Jul-20,90,80.3,73
9-Jul-20,94,82.3,72
10-Jul-20,92,79.4,72
11-Jul-20,77,72.9,70
12-Jul-20,82,72.7,63
13-Jul-20,77,69.6,62
14-Jul-20,80,70.6,60
15-Jul-20,86,74.8,61
16-Jul-20,80,73.5,69
17-Jul-20,82,75.1,69
18-Jul-20,87,77.5,67
19-Jul-20,87,76.8,71
20-Jul-20,83,75.8,69
21-Jul-20,79,70.4,62
22-Jul-20,79,73.2,67
23-Jul-20,80,73,69
24-Jul-20,82,73.8,66
25-Jul-20,86,71.9,61
26-Jul-20,88,78,68
27-Jul-20,89,80.8,74
28-Jul-20,83,75.4,64
29-Jul-20,82,75.5,69
30-Jul-20,82,73.3,65
31-Jul-20,84,73.2,61
1-Aug-20,86,73.1,60
2-Aug-20,80,72.6,67
3-Aug-20,81,71.1,62
4-Aug-20,76,69,63
5-Aug-20,74,65.2,59
6-Aug-20,77,65.8,54
7-Aug-20,78,69.1,60
8-Aug-20,81,70.7,60
9-Aug-20,84,75,65
10-Aug-20,89,79.8,72
11-Aug-20,81,39.5,0
12-Aug-20,85,51.9,0
13-Aug-20,87,74.8,61
14-Aug-20,86,74.9,64
15-Aug-20,87,73.7,64
16-Aug-20,79,70.6,65
17-Aug-20,77,64.3,60
18-Aug-20,71,26.7,0
19-Aug-20,72,33.7,0
20-Aug-20,77,65.7,52
21-Aug-20,83,68.7,0
22-Aug-20,86,74.8,64
23-Aug-20,86,76.4,65
24-Aug-20,86,77.8,68
25-Aug-20,81,73.4,67
26-Aug-20,67,30.5,0
27-Aug-20,0,0,0
28-Aug-20,0,0,0
29-Aug-20,0,0,0
30-Aug-20,0,0,0
31-Aug-20,81,36.4,0
1-Sep-20,74,33.3,0
2-Sep-20,80,35.9,0
3-Sep-20,81,70.4,58
4-Sep-20,72,64,54
5-Sep-20,71,61.7,54
6-Sep-20,73,62.3,47
7-Sep-20,72,68.9,64
8-Sep-20,70,62.9,60
9-Sep-20,76,63.2,0
10-Sep-20,69,64.1,58
11-Sep-20,61,56,48
12-Sep-20,79,62.1,46
13-Sep-20,75,67.9,61
14-Sep-20,61,56.7,49
15-Sep-20,63,52,41
16-Sep-20,71,64,57
17-Sep-20,69,62.5,55
18-Sep-20,60,53.5,46
19-Sep-20,58,48.6,40
20-Sep-20,62,50.7,41
21-Sep-20,67,52.8,38
22-Sep-20,69,55.5,39
23-Sep-20,78,64.2,50
24-Sep-20,77,63.5,56
25-Sep-20,78,66.9,58
26-Sep-20,78,66.8,54
27-Sep-20,80,70.6,63
28-Sep-20,79,70.8,62
29-Sep-20,63,58.6,54
30-Sep-20,60,54.9,51
