Date,Max,Avg,Min
29-Feb,20,16.9,14
1-Mar,37,25.7,17
2-Mar,49,43.2,38
3-Mar,48,42,35
4-Mar,37,33.4,31
5-Mar,44,32,21
6-Mar,39,31.8,26
7-Mar,37,29,24
8-Mar,50,34.4,29
9-Mar,63,53.6,45
10-Mar,55,43.7,31
11-Mar,39,33.9,28
12-Mar,59,44.2,37
13-Mar,52,44.9,35
14-Mar,39,33.3,28
15-Mar,43,32.2,26
16-Mar,45,33.6,19
17-Mar,40,37.3,30
18-Mar,50,36.7,22
19-Mar,54,46.9,40
20-Mar,64,55.5,31
21-Mar,35,27.8,24
22-Mar,40,29,16
23-Mar,36,33.4,32
24-Mar,38,34.4,32
25-Mar,45,37.2,32
26-Mar,60,45.2,32
27-Mar,57,45.4,40
28-Mar,48,44.9,41
29-Mar,67,52.9,48
30-Mar,52,41.2,36
31-Mar,43,38.5,35
1-Apr,47,39.6,32
2-Apr,49,39.6,29
3-Apr,49,40.8,32
4-Apr,58,45.3,38
5-Apr,62,49.1,35
6-Apr,59,38.6,28
7-Apr,60,50.8,39
8-Apr,61,51.3,36
9-Apr,50,35.2,30
10-Apr,32,29.2,27
11-Apr,44,34.1,28
12-Apr,63,46.3,28
13-Apr,59,51.1,34
14-Apr,41,33.8,30
15-Apr,39,30.8,24
16-Apr,32,28.1,20
17-Apr,33,29.4,22
18-Apr,40,32.9,30
19-Apr,55,43.2,34
20-Apr,53,39.2,30
21-Apr,43,31.5,26
22-Apr,38,28.7,23
23-Apr,53,36.6,28
24-Apr,57,48.3,39
25-Apr,60,45.9,30
26-Apr,50,41.2,36
27-Apr,50,40.4,34
28-Apr,56,44.9,34
29-Apr,62,52.3,39
30-Apr,55,51,46
1-May,52,44.4,40
2-May,63,48.2,39
3-May,73,61.8,49
4-May,49,41.9,37
5-May,57,42.8,29
6-May,46,36.9,31
7-May,54,41.9,26
8-May,41,30.7,25
9-May,35,27.9,22
10-May,55,44,32
11-May,43,37.7,34
12-May,46,36.3,30
13-May,55,41.4,24
14-May,64,51.9,31
15-May,74,61.1,57
16-May,69,54.9,42
17-May,64,55.7,47
18-May,66,59,54
19-May,69,59.8,53
20-May,69,55.3,47
21-May,70,55.2,33
22-May,65,59.3,48
23-May,73,62.4,59
24-May,75,65.5,61
25-May,82,66.9,59
26-May,85,64.3,55
27-May,79,59.3,0
28-May,73,67.4,59
29-May,75,65.4,56
30-May,63,54.2,43
31-May,57,47.1,37
1-Jun,65,51.3,34
2-Jun,73,60,43
3-Jun,76,67.5,59
4-Jun,75,59.7,50
5-Jun,78,67,61
6-Jun,76,67.7,55
7-Jun,69,58.5,48
8-Jun,76,58.6,41
9-Jun,87,70.2,48
10-Jun,86,76.8,66
11-Jun,73,64.6,51
12-Jun,69,57.3,45
13-Jun,63,51.6,39
14-Jun,67,52.9,36
15-Jun,70,59.4,49
16-Jun,77,61.1,41
17-Jun,80,65,45
18-Jun,79,67.4,51
19-Jun,73,63.7,54
20-Jun,79,59.8,50
21-Jun,82,63.1,54
22-Jun,85,66.2,60
23-Jun,77,67.9,59
24-Jun,69,60.5,49
25-Jun,74,60.9,48
26-Jun,78,66.3,57
27-Jun,75,67,59
28-Jun,79,70.2,62
29-Jun,81,67.5,56
30-Jun,79,68.1,56
1-Jul,79,66.9,59
2-Jul,86,69.7,56
3-Jul,86,73.3,58
4-Jul,84,67.7,57
5-Jul,87,70.3,54
6-Jul,88,73.7,58
7-Jul,87,71,59
8-Jul,87,75,66
9-Jul,89,70.2,61
10-Jul,87,76.7,64
11-Jul,72,67.9,64
12-Jul,79,66.3,57
13-Jul,73,61.3,52
14-Jul,77,59.6,50
15-Jul,82,67.3,52
16-Jul,78,72.4,63
17-Jul,81,71,62
18-Jul,87,72.6,57
19-Jul,86,73.6,62
20-Jul,81,72.2,64
21-Jul,77,68.4,60
22-Jul,79,67.6,60
23-Jul,81,72,69
24-Jul,81,70.5,65
25-Jul,80,66.3,57
26-Jul,84,64.6,55
27-Jul,87,74,67
28-Jul,80,70.9,58
29-Jul,81,68.5,56
30-Jul,77,67.5,62
31-Jul,79,65.3,55
