Date,Max,Avg,Min
29-Feb-20,29,24.3,20
1-Mar-20,36,27.1,17
2-Mar-20,57,44.4,31
3-Mar-20,62,49.7,37
4-Mar-20,49,43.4,39
5-Mar-20,47,39.1,30
6-Mar-20,48,37.1,27
7-Mar-20,45,33.9,27
8-Mar-20,58,41.2,27
9-Mar-20,75,59.5,46
10-Mar-20,62,56.5,45
11-Mar-20,46,40.9,35
12-Mar-20,52,43.2,34
13-Mar-20,56,47.2,41
14-Mar-20,45,41.3,39
15-Mar-20,47,37.4,27
16-Mar-20,46,34.3,22
17-Mar-20,49,40.2,35
18-Mar-20,53,44,32
19-Mar-20,51,44.5,38
20-Mar-20,74,53,45
21-Mar-20,46,39.1,30
22-Mar-20,41,32,23
23-Mar-20,37,33.9,32
24-Mar-20,42,37.1,33
25-Mar-20,47,36.8,29
26-Mar-20,59,45.5,29
27-Mar-20,60,51.5,44
28-Mar-20,51,41.5,31
29-Mar-20,51,46,43
30-Mar-20,47,44,41
31-Mar-20,48,42.1,38
1-Apr-20,55,43.6,33
2-Apr-20,57,45.9,39
3-Apr-20,51,46.5,42
4-Apr-20,62,53.8,46
5-Apr-20,62,53.8,49
6-Apr-20,61,50.8,40
7-Apr-20,64,55.3,42
8-Apr-20,59,49.8,45
9-Apr-20,51,46.8,41
10-Apr-20,47,42,37
11-Apr-20,49,41.6,34
12-Apr-20,63,49.2,30
13-Apr-20,63,60,51
14-Apr-20,51,46.6,42
15-Apr-20,47,41.5,36
16-Apr-20,44,37.5,33
17-Apr-20,49,39.2,29
18-Apr-20,48,38.9,34
19-Apr-20,67,49.9,30
20-Apr-20,54,45.6,38
21-Apr-20,51,40.9,33
22-Apr-20,44,36.1,31
23-Apr-20,55,42,29
24-Apr-20,53,45.5,41
25-Apr-20,66,54.5,40
26-Apr-20,56,47.8,38
27-Apr-20,46,42.3,37
28-Apr-20,62,50,39
29-Apr-20,65,53.3,39
30-Apr-20,58,52.2,47
1-May-20,61,57.7,53
2-May-20,71,58.8,44
3-May-20,78,67.3,55
4-May-20,61,53.9,47
5-May-20,58,48.1,38
6-May-20,57,49.5,37
7-May-20,64,54.8,44
8-May-20,57,45.1,35
9-May-20,43,37.5,33
10-May-20,57,47.5,37
11-May-20,61,46,0
12-May-20,52,45.1,37
13-May-20,58,47.3,30
14-May-20,70,55.7,34
15-May-20,84,68,57
16-May-20,72,64.5,56
17-May-20,73,62.9,54
18-May-20,68,60.2,55
19-May-20,70,61.9,52
20-May-20,74,61.9,45
21-May-20,77,63.6,48
22-May-20,82,70.4,57
23-May-20,84,73.3,63
24-May-20,79,66,50
25-May-20,79,67,56
26-May-20,89,76.6,64
27-May-20,88,77.6,68
28-May-20,82,74.6,68
29-May-20,89,77.6,72
30-May-20,77,67.6,58
31-May-20,62,56.2,50
1-Jun-20,67,55.3,43
2-Jun-20,69,59.5,47
3-Jun-20,81,67,59
4-Jun-20,88,75.7,59
5-Jun-20,84,77.2,71
6-Jun-20,85,75,62
7-Jun-20,73,64.5,55
8-Jun-20,80,66.8,50
9-Jun-20,88,72.4,61
10-Jun-20,85,74.9,59
11-Jun-20,88,76.3,67
12-Jun-20,80,69,57
13-Jun-20,64,56.8,47
14-Jun-20,70,57.7,45
15-Jun-20,77,64.2,50
16-Jun-20,82,67.5,51
17-Jun-20,86,73.2,56
18-Jun-20,87,74.4,63
19-Jun-20,86,77.5,70
20-Jun-20,91,80.3,68
21-Jun-20,92,81.5,69
22-Jun-20,94,83.4,70
23-Jun-20,91,83.4,75
24-Jun-20,83,75.5,68
25-Jun-20,86,73.3,59
26-Jun-20,85,73.6,64
27-Jun-20,72,67.8,61
28-Jun-20,77,69.2,66
29-Jun-20,81,71.3,65
30-Jun-20,79,70,66
1-Jul-20,83,70.2,65
2-Jul-20,93,75.3,64
3-Jul-20,81,74.8,70
4-Jul-20,89,73.5,66
5-Jul-20,90,78,62
6-Jul-20,87,77.2,66
7-Jul-20,85,77,70
8-Jul-20,88,77.5,73
9-Jul-20,93,80.9,73
10-Jul-20,86,79.5,74
11-Jul-20,89,79.8,74
12-Jul-20,89,80.2,75
13-Jul-20,88,78.1,70
14-Jul-20,84,74.3,68
15-Jul-20,86,75.1,66
16-Jul-20,79,73.9,67
17-Jul-20,81,69.9,62
18-Jul-20,87,74,60
19-Jul-20,92,78.2,64
20-Jul-20,92,79.7,69
21-Jul-20,82,73,65
22-Jul-20,83,70.4,64
23-Jul-20,80,72.8,68
24-Jul-20,81,72.3,65
25-Jul-20,84,71.8,63
26-Jul-20,85,76,63
27-Jul-20,93,79.9,65
28-Jul-20,80,72.6,64
29-Jul-20,85,71.5,59
30-Jul-20,80,71.4,64
31-Jul-20,82,71.5,59
1-Aug-20,84,74.3,63
2-Aug-20,83,75.9,73
3-Aug-20,82,75.2,68
4-Aug-20,71,67,64
5-Aug-20,78,68.5,59
6-Aug-20,76,65.5,56
7-Aug-20,72,65.1,59
8-Aug-20,82,71.8,64
9-Aug-20,85,73.5,64
10-Aug-20,86,73.9,65
11-Aug-20,87,75.5,67
12-Aug-20,82,73.5,65
13-Aug-20,83,70.2,60
14-Aug-20,83,72,62
