Date,Max,Avg,Min
29-Feb-20,17,11.3,-2
1-Mar-20,33,17.9,-7
2-Mar-20,44,41.5,31
3-Mar-20,49,40,33
4-Mar-20,39,35.2,33
5-Mar-20,37,33.1,30
6-Mar-20,40,32.7,28
7-Mar-20,30,26.3,20
8-Mar-20,49,39.6,28
9-Mar-20,61,52.3,48
10-Mar-20,55,46.3,31
11-Mar-20,34,29.5,24
12-Mar-20,51,39.8,28
13-Mar-20,51,45.4,37
14-Mar-20,41,36.1,32
15-Mar-20,34,28.3,20
16-Mar-20,45,30,15
17-Mar-20,43,39.1,34
18-Mar-20,42,34.5,20
19-Mar-20,52,45.6,37
20-Mar-20,67,51.2,34
21-Mar-20,32,25.8,19
22-Mar-20,40,26.1,13
23-Mar-20,37,33.9,28
24-Mar-20,41,35.1,33
25-Mar-20,46,38.6,27
26-Mar-20,60,47.3,40
27-Mar-20,42,35.8,24
28-Mar-20,53,40.6,23
29-Mar-20,59,51.5,45
30-Mar-20,50,44.8,41
31-Mar-20,50,42.6,34
1-Apr-20,46,36.1,25
2-Apr-20,53,42.4,30
3-Apr-20,46,43.4,39
4-Apr-20,54,45.3,38
5-Apr-20,51,44.8,34
6-Apr-20,49,39.8,23
7-Apr-20,56,46.2,27
8-Apr-20,52,44.8,37
9-Apr-20,46,41.7,38
10-Apr-20,42,37.9,35
11-Apr-20,43,37.5,28
12-Apr-20,60,49.8,35
13-Apr-20,63,55.6,41
14-Apr-20,43,39.5,36
15-Apr-20,40,35.9,30
16-Apr-20,40,34.1,28
17-Apr-20,43,37,32
18-Apr-20,47,39.5,29
19-Apr-20,53,43.7,39
20-Apr-20,45,35,26
21-Apr-20,47,39.8,30
22-Apr-20,41,33.9,29
23-Apr-20,48,36,19
24-Apr-20,51,44.5,38
25-Apr-20,61,45.9,25
26-Apr-20,49,43.8,39
27-Apr-20,50,44,31
28-Apr-20,58,47.3,27
29-Apr-20,64,55.2,39
30-Apr-20,63,57,51
1-May-20,57,49,41
2-May-20,60,44.8,34
3-May-20,68,57.2,46
4-May-20,50,45.2,39
5-May-20,46,37.4,27
6-May-20,55,42.8,27
7-May-20,54,43.2,37
8-May-20,42,36.5,30
9-May-20,42,33.4,28
10-May-20,47,41.1,38
11-May-20,42,39.7,35
12-May-20,45,38.6,31
13-May-20,50,40.5,27
14-May-20,64,51.4,28
15-May-20,69,58,50
16-May-20,59,51,42
17-May-20,70,50.6,36
18-May-20,69,58,49
19-May-20,71,57.7,43
20-May-20,72,57.3,37
21-May-20,73,57.4,38
22-May-20,76,62.8,44
23-May-20,80,66.2,51
24-May-20,83,69.9,48
25-May-20,81,69.9,60
26-May-20,87,71.3,59
27-May-20,87,76.3,61
28-May-20,82,74.7,66
29-May-20,81,69.5,59
30-May-20,64,57.9,49
31-May-20,55,48,37
1-Jun-20,62,49.5,37
2-Jun-20,63,58.6,55
3-Jun-20,70,60.3,53
4-Jun-20,78,61.5,50
5-Jun-20,78,71.1,63
6-Jun-20,77,64.3,53
7-Jun-20,68,58.5,48
8-Jun-20,70,58.6,43
9-Jun-20,80,68.1,57
10-Jun-20,89,77.2,58
11-Jun-20,81,69,62
12-Jun-20,65,60.7,54
13-Jun-20,59,49.4,42
14-Jun-20,67,52.7,36
15-Jun-20,75,58.7,39
16-Jun-20,78,62,42
17-Jun-20,82,66,47
18-Jun-20,86,71.2,52
19-Jun-20,84,75.5,67
20-Jun-20,85,75.2,61
21-Jun-20,87,75.8,61
22-Jun-20,88,79,71
23-Jun-20,88,76.7,69
24-Jun-20,71,68,66
25-Jun-20,76,68,59
26-Jun-20,81,70.2,60
27-Jun-20,79,70.1,62
28-Jun-20,77,69.7,60
29-Jun-20,83,63.5,54
30-Jun-20,76,69.2,61
1-Jul-20,82,64.9,57
2-Jul-20,87,74.5,65
3-Jul-20,88,76.8,67
4-Jul-20,89,70,60
5-Jul-20,85,68.7,54
6-Jul-20,90,68.9,58
7-Jul-20,89,78.8,62
8-Jul-20,88,80.7,75
9-Jul-20,94,82,72
10-Jul-20,94,84.1,72
11-Jul-20,84,73.8,71
12-Jul-20,81,74.1,69
13-Jul-20,79,70.5,61
14-Jul-20,82,70,58
15-Jul-20,83,68.4,60
16-Jul-20,80,72.9,67
17-Jul-20,80,74.6,68
18-Jul-20,84,76,67
19-Jul-20,89,80.5,72
20-Jul-20,82,77.2,71
21-Jul-20,77,69.7,61
22-Jul-20,79,72.5,60
23-Jul-20,83,75.7,70
24-Jul-20,85,73.6,60
25-Jul-20,83,71.9,56
26-Jul-20,85,77.7,68
27-Jul-20,85,80.3,75
28-Jul-20,81,76,70
29-Jul-20,81,73.5,67
30-Jul-20,81,72,62
31-Jul-20,85,67.1,55
1-Aug-20,86,72.8,58
2-Aug-20,87,73.6,67
3-Aug-20,77,71.9,67
4-Aug-20,72,68.9,66
5-Aug-20,73,68.4,63
6-Aug-20,74,63.5,50
7-Aug-20,81,65.7,49
8-Aug-20,82,70.8,58
9-Aug-20,79,73,66
10-Aug-20,84,75.6,70
11-Aug-20,89,77.3,67
12-Aug-20,79,70.9,58
13-Aug-20,87,72.2,60
14-Aug-20,84,70.8,59
15-Aug-20,86,72.8,56
16-Aug-20,81,72.7,66
17-Aug-20,77,66.9,60
18-Aug-20,76,66.2,58
19-Aug-20,72,58.5,51
20-Aug-20,75,61.3,0
21-Aug-20,78,69.2,63
22-Aug-20,80,69.3,62
23-Aug-20,83,73.4,64
24-Aug-20,85,75.1,64
25-Aug-20,83,72.7,60
26-Aug-20,67,58,43
27-Aug-20,69,62.7,59
28-Aug-20,70,62.5,57
29-Aug-20,79,68.8,62
30-Aug-20,70,62.3,53
31-Aug-20,75,60.5,46
1-Sep-20,76,71.8,68
2-Sep-20,79,73.8,66
3-Sep-20,78,67.2,52
4-Sep-20,72,65.1,52
5-Sep-20,72,62.7,47
6-Sep-20,70,56.3,44
7-Sep-20,80,72.1,63
8-Sep-20,74,65.8,60
9-Sep-20,74,62.4,57
10-Sep-20,71,62.9,55
11-Sep-20,62,53.7,43
12-Sep-20,74,58.8,38
13-Sep-20,71,66.1,64
14-Sep-20,64,56.5,40
15-Sep-20,61,47.3,33
16-Sep-20,73,39,0
