Date,Max,Avg,Min
29-Feb-20,23,18,13
1-Mar-20,40,30.3,18
2-Mar-20,53,45.9,41
3-Mar-20,53,42.8,39
4-Mar-20,44,38.3,34
5-Mar-20,44,35.3,32
6-Mar-20,41,32.9,29
7-Mar-20,36,28.9,23
8-Mar-20,57,44.5,27
9-Mar-20,65,56.1,49
10-Mar-20,57,48.1,33
11-Mar-20,40,33.5,26
12-Mar-20,52,41.2,32
13-Mar-20,52,45.4,34
14-Mar-20,39,36,33
15-Mar-20,34,31,25
16-Mar-20,49,35.6,21
17-Mar-20,45,41.6,37
18-Mar-20,47,38.1,27
19-Mar-20,53,46,38
20-Mar-20,70,54.7,31
21-Mar-20,30,27.2,23
22-Mar-20,35,27.7,20
23-Mar-20,38,35.9,32
24-Mar-20,42,36.6,33
25-Mar-20,52,42.3,33
26-Mar-20,62,48.9,40
27-Mar-20,49,41.7,36
28-Mar-20,48,43.6,35
29-Mar-20,68,55.2,45
30-Mar-20,51,45.4,40
31-Mar-20,45,40.9,39
1-Apr-20,47,39.1,32
2-Apr-20,54,42.5,30
3-Apr-20,45,41,37
4-Apr-20,50,44.7,40
5-Apr-20,50,45,38
6-Apr-20,56,44.4,30
7-Apr-20,59,47.9,37
8-Apr-20,55,46.7,41
9-Apr-20,48,41.6,34
10-Apr-20,45,35.8,32
11-Apr-20,45,37.8,30
12-Apr-20,64,50.3,35
13-Apr-20,66,54.1,41
14-Apr-20,45,38.3,33
15-Apr-20,41,33.4,30
16-Apr-20,37,31.6,24
17-Apr-20,41,33.6,27
18-Apr-20,47,37.8,33
19-Apr-20,54,44,37
20-Apr-20,44,36.6,29
21-Apr-20,46,38.5,31
22-Apr-20,41,33.1,28
23-Apr-20,42,35.9,28
24-Apr-20,49,42.8,37
25-Apr-20,55,46.5,32
26-Apr-20,47,43.9,41
27-Apr-20,53,43.9,38
28-Apr-20,58,46.4,35
29-Apr-20,68,56.5,46
30-Apr-20,60,54,49
1-May-20,53,49.7,45
2-May-20,67,53.9,39
3-May-20,74,60.8,51
4-May-20,50,46,40
5-May-20,47,40.7,31
6-May-20,53,44.3,36
7-May-20,58,44.4,34
8-May-20,41,36.9,32
9-May-20,40,34.3,29
10-May-20,51,42,34
11-May-20,43,40.6,37
12-May-20,47,38,30
13-May-20,54,42.5,27
