"","Date","CASE_COUNT","Avg_temp"
"198",2020-09-13,253,71.2
"199",2020-09-14,418,72.8
"200",2020-09-15,340,61.4
"201",2020-09-16,357,67
"202",2020-09-17,353,71.8
"203",2020-09-18,270,66.5
"204",2020-09-19,149,58.3
"205",2020-09-20,162,58.7
"206",2020-09-21,495,59.5
"207",2020-09-22,373,63.7
"208",2020-09-23,492,71.5
"209",2020-09-24,427,72.1
"210",2020-09-25,404,70.5
"211",2020-09-26,244,71.5
"212",2020-09-27,350,73.4
"213",2020-09-28,339,72.9
"214",2020-09-29,367,72.1
"215",2020-09-30,145,67.7
