"","DATE","CASE_COUNT"
"1",2020-02-29,1
"2",2020-03-03,1
"3",2020-03-04,5
"4",2020-03-05,3
"5",2020-03-06,8
"6",2020-03-07,7
"7",2020-03-08,21
"8",2020-03-09,57
"9",2020-03-10,70
"10",2020-03-11,155
"11",2020-03-12,357
"12",2020-03-13,619
"13",2020-03-14,642
"14",2020-03-15,1036
"15",2020-03-16,2121
"16",2020-03-17,2452
"17",2020-03-18,2972
"18",2020-03-19,3707
"19",2020-03-20,4007
"20",2020-03-21,2637
"21",2020-03-22,2580
"22",2020-03-23,3571
"23",2020-03-24,4503
"24",2020-03-25,4874
"25",2020-03-26,5049
"26",2020-03-27,5120
"27",2020-03-28,3479
"28",2020-03-29,3562
"29",2020-03-30,6131
"30",2020-03-31,5464
"31",2020-04-01,5452
"32",2020-04-02,5754
"33",2020-04-03,5670
"34",2020-04-04,3866
"35",2020-04-05,3785
"36",2020-04-06,6364
"37",2020-04-07,6048
"38",2020-04-08,5581
"39",2020-04-09,5071
"40",2020-04-10,4514
"41",2020-04-11,3731
"42",2020-04-12,2889
"43",2020-04-13,3313
"44",2020-04-14,4147
"45",2020-04-15,3877
"46",2020-04-16,3528
"47",2020-04-17,3584
"48",2020-04-18,2172
"49",2020-04-19,2346
"50",2020-04-20,3794
"51",2020-04-21,3064
"52",2020-04-22,3462
"53",2020-04-23,2842
"54",2020-04-24,2535
"55",2020-04-25,1597
"56",2020-04-26,1003
"57",2020-04-27,2290
"58",2020-04-28,2729
"59",2020-04-29,2341
"60",2020-04-30,2022
"61",2020-05-01,1889
"62",2020-05-02,1059
"63",2020-05-03,786
"64",2020-05-04,1551
"65",2020-05-05,1514
"66",2020-05-06,1399
"67",2020-05-07,1236
"68",2020-05-08,1082
"69",2020-05-09,657
"70",2020-05-10,458
"71",2020-05-11,1232
"72",2020-05-12,1285
"73",2020-05-13,1335
"74",2020-05-14,1112
"75",2020-05-15,875
"76",2020-05-16,486
"77",2020-05-17,359
"78",2020-05-18,898
"79",2020-05-19,1004
"80",2020-05-20,1080
"81",2020-05-21,1070
"82",2020-05-22,1045
"83",2020-05-23,458
"84",2020-05-24,469
"85",2020-05-25,468
"86",2020-05-26,1053
"87",2020-05-27,744
"88",2020-05-28,647
"89",2020-05-29,646
"90",2020-05-30,349
"91",2020-05-31,230
"92",2020-06-01,687
"93",2020-06-02,574
"94",2020-06-03,516
"95",2020-06-04,523
"96",2020-06-05,403
"97",2020-06-06,247
"98",2020-06-07,198
"99",2020-06-08,451
"100",2020-06-09,420
"101",2020-06-10,365
"102",2020-06-11,367
"103",2020-06-12,410
"104",2020-06-13,197
"105",2020-06-14,180
"106",2020-06-15,379
"107",2020-06-16,420
"108",2020-06-17,356
"109",2020-06-18,378
"110",2020-06-19,362
"111",2020-06-20,203
"112",2020-06-21,172
"113",2020-06-22,398
"114",2020-06-23,383
"115",2020-06-24,381
"116",2020-06-25,296
"117",2020-06-26,310
"118",2020-06-27,206
"119",2020-06-28,203
"120",2020-06-29,436
"121",2020-06-30,442
"122",2020-07-01,397
"123",2020-07-02,418
"124",2020-07-03,231
"125",2020-07-04,120
"126",2020-07-05,153
"127",2020-07-06,434
"128",2020-07-07,461
"129",2020-07-08,436
"130",2020-07-09,391
"131",2020-07-10,308
"132",2020-07-11,255
"133",2020-07-12,223
"134",2020-07-13,483
"135",2020-07-14,401
"136",2020-07-15,437
"137",2020-07-16,418
"138",2020-07-17,415
"139",2020-07-18,217
"140",2020-07-19,175
"141",2020-07-20,400
"142",2020-07-21,338
"143",2020-07-22,329
"144",2020-07-23,308
"145",2020-07-24,299
"146",2020-07-25,153
"147",2020-07-26,140
"148",2020-07-27,313
"149",2020-07-28,312
"150",2020-07-29,286
"151",2020-07-30,269
"152",2020-07-31,262
"153",2020-08-01,189
"154",2020-08-02,134
"155",2020-08-03,345
"156",2020-08-04,184
"157",2020-08-05,298
"158",2020-08-06,290
"159",2020-08-07,252
"160",2020-08-08,159
"161",2020-08-09,133
"162",2020-08-10,304
"163",2020-08-11,258
"164",2020-08-12,320
"165",2020-08-13,273
"166",2020-08-14,278
"167",2020-08-15,149
"168",2020-08-16,138
"169",2020-08-17,327
"170",2020-08-18,281
"171",2020-08-19,255
"172",2020-08-20,225
"173",2020-08-21,250
"174",2020-08-22,135
"175",2020-08-23,150
"176",2020-08-24,296
"177",2020-08-25,281
"178",2020-08-26,312
"179",2020-08-27,264
"180",2020-08-28,276
"181",2020-08-29,125
"182",2020-08-30,179
"183",2020-08-31,308
"184",2020-09-01,292
"185",2020-09-02,273
"186",2020-09-03,272
"187",2020-09-04,227
"188",2020-09-05,156
"189",2020-09-06,204
"190",2020-09-07,218
"191",2020-09-08,387
"192",2020-09-09,340
"193",2020-09-10,321
"194",2020-09-11,305
"195",2020-09-12,198
"196",2020-09-13,254
"197",2020-09-14,417
"198",2020-09-15,333
"199",2020-09-16,351
"200",2020-09-17,346
"201",2020-09-18,275
"202",2020-09-19,154
"203",2020-09-20,157
"204",2020-09-21,503
"205",2020-09-22,386
"206",2020-09-23,507
"207",2020-09-24,461
"208",2020-09-25,435
"209",2020-09-26,268
"210",2020-09-27,365
"211",2020-09-28,425
"212",2020-09-29,667
"213",2020-09-30,560
